Timestamp,BI
1738272010.67795,456
1738272010.99171,596
1738272011.31106,678
1738272011.9889,678
1738272013.08237,678
1738272014.01824,678
1738272014.40171,936
1738272014.97717,925
1738272016.13733,925
1738272017.06224,1000
1738272018.10139,1000
1738272019.10166,925
1738272020.02169,920
1738272020.42399,402
1738272020.74762,402
1738272021.11211,402
1738272022.05848,946
1738272023.10921,972
1738272024.0809,972
1738272025.12075,992
1738272026.06624,972
1738272027.05799,945
1738272027.70301,945
1738272028.09169,933
1738272029.09517,933
1738272030.02854,966
1738272030.99421,966
1738272031.96354,933
1738272032.36161,966
1738272032.97463,613
1738272033.95787,562
1738272034.51955,565
1738272034.95632,562
1738272035.52152,562
1738272035.87093,565
1738272036.82129,950
1738272037.78182,950
1738272038.75107,961
1738272039.64017,961
1738272040.63363,951
1738272041.58479,889
1738272042.00417,951
1738272042.44979,951
1738272043.44939,672
1738272044.44079,672
1738272045.11236,960
1738272045.43695,685
1738272046.39698,672
1738272047.082,685
1738272047.48494,849
1738272048.33414,849
1738272049.24284,909
1738272050.31469,909
1738272051.27182,957
1738272052.15266,957
1738272053.17178,957
1738272054.12441,953
1738272055.1322,1008
1738272056.06827,953
1738272057.07923,1008
1738272057.98893,936
1738272059.0275,957
1738272059.92808,957
1738272060.88461,979
1738272061.86615,957
1738272062.84562,960
1738272063.7987,960
1738272064.75873,953
1738272065.61516,856
1738272066.15687,856
1738272066.56073,542
1738272067.50021,542
1738272067.85789,676
1738272068.53391,676
1738272069.54555,676
1738272070.20129,676
1738272071.28851,656
1738272071.85307,565
1738272072.37936,526
1738272072.6967,486
1738272073.05438,359
1738272073.54073,358
1738272073.89941,359
1738272074.20641,477
1738272074.68325,359
1738272075.48305,477
1738272075.80328,800
1738272076.9046,952
1738272077.85613,972
1738272078.84689,991
1738272079.81858,972
1738272080.85302,972
1738272081.21644,972
1738272081.94131,983
1738272082.9239,725
1738272084.01238,725
1738272084.71993,983
1738272085.06356,916
1738272086.07659,916
1738272086.99289,1012
1738272088.12393,1013
1738272089.13547,1012
1738272090.1919,1056
1738272091.14656,1056
1738272092.21314,1056
1738272093.32739,1067
1738272094.23535,1067
1738272095.31105,1037
1738272096.34842,915
1738272097.26357,1037
1738272098.17447,915
1738272099.22581,911
1738272099.64527,876
1738272100.05319,419
1738272100.92932,408
1738272101.29178,408
1738272101.63791,657
1738272102.29508,362
1738272102.97247,422
1738272103.30519,565
1738272103.72697,565
1738272104.29196,565
1738272105.30135,939
1738272106.29383,939
1738272107.23281,939
1738272108.16344,939
1738272109.10207,931
1738272109.49408,931
1738272110.1055,939
1738272111.14213,954
1738272112.09656,1003
1738272113.09995,1012
1738272114.11202,1003
1738272115.20025,1003
1738272116.14148,1012
1738272117.13304,992
1738272118.15741,958
1738272119.09141,958
1738272120.04953,958
1738272120.97583,958
1738272121.97826,1002
1738272123.02671,1002
1738272124.04001,1002
1738272124.43975,979
1738272125.02895,979
1738272126.00843,919
1738272127.09928,979
1738272128.01784,982
1738272128.9994,982
1738272130.0021,919
1738272130.59392,936
1738272130.98595,936
1738272131.92216,907
1738272132.88546,936
1738272133.79281,949
1738272134.74213,949
1738272135.72457,907
1738272136.06348,949
1738272136.6863,882
1738272137.66297,882
1738272138.54499,882
1738272139.50138,882
1738272139.93222,882
1738272140.35514,784
1738272141.28144,784
1738272142.06528,835
1738272142.95689,837
1738272143.79185,835
1738272144.62863,835
1738272145.37456,834
1738272146.18759,834
1738272147.02201,834
1738272147.87694,846
1738272148.74186,846
1738272149.58769,846
1738272150.20698,619
1738272150.54722,549
1738272150.86433,549
1738272151.41374,549
1738272152.25595,835
1738272153.09139,842
1738272153.94246,851
1738272154.85518,894
1738272155.74906,894
1738272156.70257,913
1738272157.58933,919
1738272158.55996,929
1738272159.47865,929
1738272160.40792,929
1738272161.37523,929
1738272162.22367,929
1738272163.23583,848
1738272163.63681,848
1738272164.19313,937
1738272165.13025,937
1738272166.12052,955
1738272167.20955,986
1738272168.16465,986
1738272169.15108,986
1738272170.12171,971
1738272171.19934,971
1738272171.60263,920
1738272172.01237,411
1738272172.93239,411
1738272173.34369,411
1738272173.89242,493
1738272174.2511,493
1738272174.74436,549
1738272175.65648,536
1738272177.09688,912
1738272177.63308,1440
1738272179.61305,1701
1738272184.62195,1701
1738272186.3228,1701
1738272187.04645,1050
1738272188.09645,764
1738272188.68327,764
1738272189.44689,764
1738272190.30064,677
1738272190.65093,677
1738272191.32828,506
1738272191.83441,432
1738272192.26678,506
1738272192.63799,506
1738272193.51301,713
1738272194.22649,713
1738272195.04286,816
1738272195.40462,816
1738272196.59856,816
