LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,TL
1738271809.474430,778895.000,51244,1,TL,1,100,2025-01-30_14-16-44-398524
1738271809.480431,778901.000,51246,1,TL,1,100,2025-01-30_14-16-44-493114
1738271814.616585,784037.000,52036,1,TL,1,100,2025-01-30_14-16-49-536277
1738271814.618586,784039.000,52038,1,TL,1,100,2025-01-30_14-16-49-631811
1738271814.665587,784086.000,52041,1,TL,1,100,2025-01-30_14-16-54-650268
1738271819.738740,789159.000,52826,1,TL,1,100,2025-01-30_14-16-54-755800
1738271824.869895,794290.000,53610,1,TL,1,100,2025-01-30_14-16-59-818101
1738271824.871895,794292.000,53612,1,TL,1,100,2025-01-30_14-17-00-077267
1738271830.016050,799436.000,54399,1,TL,1,100,2025-01-30_14-17-05-170200
1738271830.018050,799438.000,54401,1,TL,1,100,2025-01-30_14-17-05-173497
1738271835.159205,804579.000,55192,1,TL,1,100,2025-01-30_14-17-10-072397
1738271835.163205,804583.000,55194,1,TL,1,100,2025-01-30_14-17-10-219103
1738271835.232207,804652.000,55197,1,TL,1,100,2025-01-30_14-17-15-183449
1738271840.293360,809713.000,55987,1,TL,1,100,2025-01-30_14-17-15-298865
1738271840.317361,809737.000,55990,1,TL,1,100,2025-01-30_14-17-20-303085
1738271845.416515,814836.000,56774,1,TL,1,100,2025-01-30_14-17-20-452769
1738271850.548669,819968.000,57559,1,TL,1,100,2025-01-30_14-17-25-472979
1738271850.551669,819971.000,57561,1,TL,1,100,2025-01-30_14-17-25-587848
1738271850.623672,820043.000,57564,1,TL,1,100,2025-01-30_14-17-30-613108
1738271855.678824,825098.000,58355,1,TL,1,100,2025-01-30_14-17-30-700743
1738271860.824979,830244.000,59141,1,TL,1,100,2025-01-30_14-17-35-774051
1738271860.827979,830247.000,59143,1,TL,1,100,2025-01-30_14-17-35-823008
1738271865.948134,835367.000,59929,1,TL,1,100,2025-01-30_14-17-40-927119
1738271865.954134,835373.000,59931,1,TL,1,100,2025-01-30_14-17-41-132997
1738271871.089289,840508.000,60723,1,TL,1,100,2025-01-30_14-17-46-065701
1738271871.091289,840510.000,60725,1,TL,1,100,2025-01-30_14-17-46-103187
1738271871.158291,840577.000,60728,1,TL,1,100,2025-01-30_14-17-51-132207
1738271876.224444,845643.000,61515,1,TL,1,100,2025-01-30_14-17-51-249316
1738271876.240444,845659.000,61518,1,TL,1,100,2025-01-30_14-17-56-232052
1738271881.353599,850772.000,62308,1,TL,1,100,2025-01-30_14-17-56-388618
1738271881.423601,850842.000,62311,1,TL,1,100,2025-01-30_14-18-01-411792
1738271886.491754,855910.000,63099,1,TL,1,100,2025-01-30_14-18-01-505663
1738271886.506754,855925.000,63102,1,TL,1,100,2025-01-30_14-18-06-500254
1738271891.614908,861033.000,63888,1,TL,1,100,2025-01-30_14-18-06-634095
1738271891.637909,861056.000,63891,1,TL,1,100,2025-01-30_14-18-11-625547
1738271896.753063,866171.000,64685,1,TL,1,100,2025-01-30_14-18-11-763383
1738271896.775064,866193.000,64688,1,TL,1,100,2025-01-30_14-18-16-766407
1738271901.884218,871302.000,65478,1,TL,1,100,2025-01-30_14-18-16-929234
1738271907.032373,876450.000,735,1,TL,1,100,2025-01-30_14-18-21-998062
1738271907.034373,876452.000,736,1,TL,1,100,2025-01-30_14-18-22-053782
1738271907.061374,876479.000,739,1,TL,1,100,2025-01-30_14-18-27-050439
1738271912.140527,881558.000,1525,1,TL,1,100,2025-01-30_14-18-27-113510
1738271912.165528,881583.000,1528,1,TL,1,100,2025-01-30_14-18-32-155595
1738271917.278682,886696.000,2325,1,TL,1,100,2025-01-30_14-18-32-195346
1738271917.297683,886715.000,2328,1,TL,1,100,2025-01-30_14-18-37-285972
1738271922.386836,891804.000,3120,1,TL,1,100,2025-01-30_14-18-37-391836
1738271922.426837,891844.000,3123,1,TL,1,100,2025-01-30_14-18-42-419110
1738271927.497990,896915.000,3912,1,TL,1,100,2025-01-30_14-18-42-455817
1738271932.625145,902042.000,4697,1,TL,1,100,2025-01-30_14-18-47-517231
1738271932.630145,902047.000,4699,1,TL,1,100,2025-01-30_14-18-47-670119
1738271932.697147,902114.000,4702,1,TL,1,100,2025-01-30_14-18-52-678980
1738271937.738299,907155.000,5486,1,TL,1,100,2025-01-30_14-18-52-775061
1738271942.847453,912264.000,6276,1,TL,1,100,2025-01-30_14-18-57-915738
