LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,BI
1738272091.710943,1061123,29377,1,BI,1,100,900
1738272092.677973,1062090,29536,1,BI,1,100,960
1738272094.964041,1064376,29879,1,BI,1,100,2260
1738272095.924071,1065336,30023,1,BI,1,100,950
1738272096.858099,1066270,30186,1,BI,1,100,930
1738272097.924131,1067336,30343,1,BI,1,100,1050
1738272098.821158,1068233,30486,1,BI,1,100,890
1738272099.654183,1069066,30612,1,BI,1,100,830
1738272102.600272,1072012,31072,1,BI,1,100,2910
1738272103.707305,1073119,31246,1,BI,1,100,1100
1738272104.703335,1074115,31403,1,BI,1,100,980
1738272105.313354,1074725,31499,1,BI,1,100,610
1738272105.840370,1075252,31581,1,BI,1,100,520
1738272107.880431,1077292,31899,1,BI,1,100,2020
1738272108.736457,1078148,32042,1,BI,1,100,850
1738272110.739517,1080151,32340,1,BI,1,100,1980
1738272111.456539,1080868,32453,1,BI,1,100,710
1738272112.619574,1082031,32646,1,BI,1,100,1150
1738272113.756608,1083168,32819,1,BI,1,100,1130
1738272114.579633,1083991,32946,1,BI,1,100,810
1738272116.926704,1086338,33313,1,BI,1,100,2330
1738272117.749729,1087161,33441,1,BI,1,100,810
1738272118.772760,1088184,33598,1,BI,1,100,1020
1738272119.645786,1089057,33724,1,BI,1,100,860
1738272120.675817,1090087,33900,1,BI,1,100,1020
1738272121.578844,1090990,34026,1,BI,1,100,890
1738272122.642876,1092054,34189,1,BI,1,100,1060
1738272123.595905,1093007,34346,1,BI,1,100,940
1738272124.408930,1093820,34473,1,BI,1,100,810
1738272125.498963,1094910,34647,1,BI,1,100,1080
1738272126.531994,1095943,34806,1,BI,1,100,1020
1738272127.629027,1097040,34969,1,BI,1,100,1080
1738272128.472052,1097883,35096,1,BI,1,100,840
1738272128.719060,1098130,35145,1,BI,1,100,240
1738272129.582086,1098993,35271,1,BI,1,100,860
1738272130.479113,1099890,35414,1,BI,1,100,890
1738272131.628147,1101039,35588,1,BI,1,100,1140
1738272132.548175,1101959,35736,1,BI,1,100,910
1738272133.445202,1102856,35878,1,BI,1,100,880
1738272134.355230,1103766,36020,1,BI,1,100,900
1738272135.388261,1104799,36178,1,BI,1,100,1030
1738272137.101313,1106512,36447,1,BI,1,100,1690
1738272138.125343,1107536,36595,1,BI,1,100,1020
1738272140.198406,1109609,36923,1,BI,1,100,2050
1738272141.854456,1111265,37176,1,BI,1,100,1640
1738272142.631479,1112042,37292,1,BI,1,100,770
1738272143.710512,1113121,37465,1,BI,1,100,1070
