LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,SA
1738257730.721229,2220928,26277,1,SA,1,100,0.000017
1738257731.187250,2221394,26358,1,SA,1,100,0.000018
1738257731.787278,2221994,26440,1,SA,1,100,0.000024
1738257732.055290,2222262,26474,1,SA,1,100,0.000012
1738257732.255299,2222462,26506,1,SA,1,100,0.000009
1738257732.455308,2222662,26554,1,SA,1,100,0.000013
1738257732.720320,2222927,26588,1,SA,1,100,0.000008
1738257733.321348,2223528,26669,1,SA,1,100,0.000002
1738257733.654363,2223861,26770,1,SA,1,100,0.000023
1738257734.188387,2224395,26819,1,SA,1,100,0.000009
1738257734.520402,2224727,26883,1,SA,1,100,0.000016
1738257734.921421,2225128,26980,1,SA,1,100,0.000030
1738257735.387442,2225594,27014,1,SA,1,100,0.000020
1738257736.054472,2226261,27142,1,SA,1,100,0.000015
1738257736.454491,2226661,27208,1,SA,1,100,0.000017
1738257737.054518,2227261,27289,1,SA,1,100,0.000012
1738257737.320530,2227527,27322,1,SA,1,100,0.000004
1738257737.654546,2227861,27419,1,SA,1,100,0.000039
1738257738.520585,2228727,27548,1,SA,1,100,0.000032
1738257738.987607,2229194,27649,1,SA,1,100,0.000061
1738257740.387670,2230594,27821,1,SA,1,100,0.000025
1738257740.720685,2230927,27855,1,SA,1,100,0.000001
1738257741.186707,2231393,27950,1,SA,1,100,0.000015
1738257741.653728,2231860,28032,1,SA,1,100,0.000025
1738257742.053746,2232260,28096,1,SA,1,100,0.000047
1738257742.586771,2232793,28178,1,SA,1,100,0.000020
1738257743.586816,2233793,28323,1,SA,1,100,0.000013
1738257743.853829,2234060,28371,1,SA,1,100,0.000017
1738257744.187844,2234394,28458,1,SA,1,100,0.000056
1738257745.120886,2235327,28569,1,SA,1,100,0.000023
1738257745.453902,2235660,28620,1,SA,1,100,0.000020
1738257745.853920,2236060,28684,1,SA,1,100,0.000021
1738257746.119932,2236326,28733,1,SA,1,100,0.000030
1738257746.586953,2236793,28781,1,SA,1,100,0.000015
1738257747.053975,2237260,28881,1,SA,1,100,0.000019
1738257747.654002,2237860,28977,1,SA,1,100,0.000024
1738257748.254030,2238460,29088,1,SA,1,100,0.000026
1738257748.720051,2238926,29154,1,SA,1,100,0.000017
1738257749.320078,2239526,29222,1,SA,1,100,0.000013
1738257749.587090,2239793,29255,1,SA,1,100,0.000004
1738257749.787099,2239993,29304,1,SA,1,100,0.000018
1738257750.053112,2240259,29370,1,SA,1,100,0.000033
1738257750.853148,2241059,29484,1,SA,1,100,0.000018
1738257751.187163,2241393,29533,1,SA,1,100,0.000025
1738257751.787191,2241993,29630,1,SA,1,100,0.000009
1738257752.053203,2242259,29649,1,SA,1,100,0.000012
1738257752.253212,2242459,29699,1,SA,1,100,0.000017
1738257752.520224,2242726,29746,1,SA,1,100,0.000006
1738257752.786236,2242992,29779,1,SA,1,100,0.000010
1738257753.053249,2243259,29831,1,SA,1,100,0.000012
1738257753.453267,2243659,29895,1,SA,1,100,0.000019
1738257753.720279,2243926,29928,1,SA,1,100,0.000010
1738257753.920288,2244126,29994,1,SA,1,100,0.000023
1738257754.719325,2244925,30099,1,SA,1,100,0.000018
1738257754.919334,2245125,30131,1,SA,1,100,0.000014
1738257755.386355,2245592,30196,1,SA,1,100,0.000007
1738257755.586364,2245792,30229,1,SA,1,100,0.000012
1738257755.919379,2246125,30295,1,SA,1,100,0.000002
1738257756.253395,2246459,30410,1,SA,1,100,0.000045
1738257756.852422,2247058,30443,1,SA,1,100,0.000008
1738257757.119434,2247325,30508,1,SA,1,100,0.000038
1738257757.652458,2247858,30574,1,SA,1,100,0.000009
1738257757.986474,2248192,30638,1,SA,1,100,0.000020
1738257758.452495,2248658,30736,1,SA,1,100,0.000035
1738257759.186528,2249392,30815,1,SA,1,100,0.000009
1738257759.519544,2249725,30887,1,SA,1,100,0.000026
1738257759.852559,2250058,30920,1,SA,1,100,0.000008
