LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,GY
1738257291.973200,1782200.000,20787,3,GY,1,100,0.397
1738257292.013202,1782240.000,20787,3,GY,1,100,0.702
1738257292.053204,1782280.000,20804,2,GY,1,100,0.793
1738257292.093205,1782320.000,20804,2,GY,1,100,0.458
1738257292.137541,1782364.333,20820,3,GY,1,100,0.671
1738257292.181876,1782408.667,20820,3,GY,1,100,1.801
1738257292.226212,1782453.000,20820,3,GY,1,100,-0.610
1738257292.266213,1782493.000,20837,2,GY,1,100,1.007
1738257292.306215,1782533.000,20837,2,GY,1,100,-0.092
1738257292.346217,1782573.000,20854,3,GY,1,100,0.488
1738257292.386219,1782613.000,20854,3,GY,1,100,0.031
1738257292.426221,1782653.000,20854,3,GY,1,100,0.061
1738257292.466223,1782693.000,20870,2,GY,1,100,0.031
1738257292.506224,1782733.000,20870,2,GY,1,100,0.000
1738257292.546226,1782773.000,20886,3,GY,1,100,0.488
1738257292.586228,1782813.000,20886,3,GY,1,100,0.031
1738257292.626230,1782853.000,20886,3,GY,1,100,0.671
1738257292.666232,1782893.000,20903,2,GY,1,100,0.000
1738257292.706234,1782933.000,20903,2,GY,1,100,0.488
1738257292.746235,1782973.000,20922,3,GY,1,100,0.549
1738257292.786237,1783013.000,20922,3,GY,1,100,0.183
1738257292.826239,1783053.000,20922,3,GY,1,100,0.580
1738257292.866241,1783093.000,20939,2,GY,1,100,0.061
1738257292.906243,1783133.000,20939,2,GY,1,100,0.427
1738257292.946244,1783173.000,20954,3,GY,1,100,0.061
1738257292.986246,1783213.000,20954,3,GY,1,100,0.458
1738257293.026248,1783253.000,20954,3,GY,1,100,0.183
1738257293.066250,1783293.000,20972,3,GY,1,100,0.244
1738257293.106252,1783333.000,20972,3,GY,1,100,0.305
1738257293.146254,1783373.000,20972,3,GY,1,100,0.061
1738257293.186255,1783413.000,20988,2,GY,1,100,1.007
1738257293.226257,1783453.000,20988,2,GY,1,100,0.610
1738257293.266259,1783493.000,21005,3,GY,1,100,0.031
1738257293.306261,1783533.000,21005,3,GY,1,100,0.397
1738257293.346263,1783573.000,21005,3,GY,1,100,0.671
1738257293.386265,1783613.000,21021,2,GY,1,100,0.610
1738257293.426266,1783653.000,21021,2,GY,1,100,0.397
1738257293.466268,1783693.000,21043,3,GY,1,100,0.336
1738257293.506270,1783733.000,21043,3,GY,1,100,0.397
1738257293.546272,1783773.000,21043,3,GY,1,100,0.610
1738257293.586274,1783813.000,21059,2,GY,1,100,0.122
1738257293.626275,1783853.000,21059,2,GY,1,100,0.519
1738257293.666277,1783893.000,21077,3,GY,1,100,0.244
1738257293.706279,1783933.000,21077,3,GY,1,100,-0.122
1738257293.746281,1783973.000,21077,3,GY,1,100,0.671
1738257293.786283,1784013.000,21092,2,GY,1,100,0.580
1738257293.826285,1784053.000,21092,2,GY,1,100,0.427
1738257293.866286,1784093.000,21111,3,GY,1,100,0.610
1738257293.906288,1784133.000,21111,3,GY,1,100,0.305
1738257293.946290,1784173.000,21111,3,GY,1,100,0.397
1738257293.986292,1784213.000,21127,2,GY,1,100,-0.031
1738257294.026294,1784253.000,21127,2,GY,1,100,0.397
1738257294.066295,1784293.000,21145,3,GY,1,100,0.244
1738257294.106297,1784333.000,21145,3,GY,1,100,-0.122
1738257294.146299,1784373.000,21145,3,GY,1,100,0.275
1738257294.186301,1784413.000,21160,2,GY,1,100,0.031
1738257294.226303,1784453.000,21160,2,GY,1,100,0.000
1738257294.266305,1784493.000,21177,3,GY,1,100,0.153
1738257294.306306,1784533.000,21177,3,GY,1,100,0.732
1738257294.346308,1784573.000,21177,3,GY,1,100,0.641
1738257294.386310,1784613.000,21194,2,GY,1,100,0.031
1738257294.426312,1784653.000,21194,2,GY,1,100,0.427
1738257294.466314,1784693.000,21211,3,GY,1,100,0.366
1738257294.506315,1784733.000,21211,3,GY,1,100,0.641
1738257294.546317,1784773.000,21211,3,GY,1,100,0.336
1738257294.586319,1784813.000,21226,3,GY,1,100,-0.153
1738257294.626321,1784853.000,21226,3,GY,1,100,0.641
1738257294.666323,1784893.000,21226,3,GY,1,100,-0.031
1738257294.706325,1784933.000,21244,2,GY,1,100,0.031
1738257294.746326,1784973.000,21244,2,GY,1,100,-0.031
1738257294.786328,1785013.000,21262,3,GY,1,100,-1.160
