LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,DC
1738257288.550044,1778777.000,20209,4,DC,2,100,EL
1738257288.575045,1778802.000,20209,4,DC,2,100,2
1738257288.600296,1778827.250,20226,4,DC,2,100,EA
1738257288.625547,1778852.500,20226,4,DC,2,100,1
1738257288.650798,1778877.750,20226,4,DC,2,100,EL
1738257288.676049,1778903.000,20226,4,DC,2,100,1
1738257288.701550,1778928.500,20243,4,DC,2,100,EA
1738257288.727052,1778954.000,20243,4,DC,2,100,2
1738257288.752553,1778979.500,20243,4,DC,2,100,EL
1738257288.778054,1779005.000,20243,4,DC,2,100,2
1738257288.804055,1779031.000,20259,4,DC,2,100,EA
1738257288.830056,1779057.000,20259,4,DC,2,100,2
1738257288.856058,1779083.000,20259,4,DC,2,100,EL
1738257288.882059,1779109.000,20259,4,DC,2,100,2
1738257288.907060,1779134.000,20275,4,DC,2,100,EA
1738257288.932061,1779159.000,20275,4,DC,2,100,1
1738257288.957062,1779184.000,20275,4,DC,2,100,EL
1738257288.982063,1779209.000,20275,4,DC,2,100,1
1738257289.007565,1779234.500,20293,4,DC,2,100,EA
1738257289.033066,1779260.000,20293,4,DC,2,100,2
1738257289.058567,1779285.500,20293,4,DC,2,100,EL
1738257289.084068,1779311.000,20293,4,DC,2,100,2
1738257289.109819,1779336.750,20309,4,DC,2,100,EA
1738257289.135570,1779362.500,20309,4,DC,2,100,1
1738257289.161322,1779388.250,20309,4,DC,2,100,EL
1738257289.187073,1779414.000,20309,4,DC,2,100,1
1738257289.212324,1779439.250,20325,4,DC,2,100,EA
1738257289.237575,1779464.500,20325,4,DC,2,100,2
1738257289.262826,1779489.750,20325,4,DC,2,100,EL
1738257289.288077,1779515.000,20325,4,DC,2,100,2
1738257289.313329,1779540.250,20341,4,DC,2,100,EA
1738257289.338580,1779565.500,20341,4,DC,2,100,1
1738257289.363831,1779590.750,20341,4,DC,2,100,EL
1738257289.389082,1779616.000,20341,4,DC,2,100,1
1738257289.415583,1779642.500,20359,4,DC,2,100,EA
1738257289.442084,1779669.000,20359,4,DC,2,100,2
1738257289.468585,1779695.500,20359,4,DC,2,100,EL
1738257289.495087,1779722.000,20359,4,DC,2,100,2
1738257289.520088,1779747.000,20375,4,DC,2,100,EA
1738257289.545089,1779772.000,20375,4,DC,2,100,1
1738257289.570090,1779797.000,20375,4,DC,2,100,EL
1738257289.595091,1779822.000,20375,4,DC,2,100,1
1738257289.620342,1779847.250,20391,4,DC,2,100,EA
1738257289.645594,1779872.500,20391,4,DC,2,100,2
1738257289.670845,1779897.750,20391,4,DC,2,100,EL
1738257289.696096,1779923.000,20391,4,DC,2,100,2
1738257289.722347,1779949.250,20408,4,DC,2,100,EA
