LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,RD
1738258585.356606,3030831.500,27851,2,RD,1,100,TL
1738258587.923215,3033398.000,27851,2,RD,1,100,TU
1738258590.475323,3035950.000,28691,2,RD,1,100,TL
1738258593.027431,3038502.000,28691,2,RD,1,100,TU
1738258595.581040,3041055.500,29538,2,RD,1,100,TL
1738258598.134649,3043609.000,29538,2,RD,1,100,TU
1738258600.688757,3046163.000,30379,2,RD,1,100,TL
1738258603.242866,3048717.000,30379,2,RD,1,100,TU
1738258605.796974,3051271.000,31225,2,RD,1,100,TL
1738258608.351083,3053825.000,31225,2,RD,1,100,TU
1738258610.908191,3056382.000,32045,2,RD,1,100,TL
1738258613.465300,3058939.000,32045,2,RD,1,100,TU
1738258616.018409,3061492.000,32886,2,RD,1,100,TL
1738258618.571517,3064045.000,32886,2,RD,1,100,TU
1738258621.139126,3066612.500,33726,2,RD,1,100,TL
1738258623.706735,3069180.000,33726,2,RD,1,100,TU
1738258626.277845,3071751.000,34568,2,RD,1,100,TL
1738258628.848954,3074322.000,34568,2,RD,1,100,TU
1738258631.412063,3076885.000,35408,2,RD,1,100,TL
1738258633.975172,3079448.000,35408,2,RD,1,100,TU
1738258636.539281,3082012.000,36252,2,RD,1,100,TL
1738258639.103390,3084576.000,36252,2,RD,1,100,TU
1738258641.657998,3087130.500,37078,2,RD,1,100,TL
1738258644.212607,3089685.000,37078,2,RD,1,100,TU
1738258646.774216,3092246.500,37924,2,RD,1,100,TL
1738258649.335825,3094808.000,37924,2,RD,1,100,TU
1738258651.900434,3097372.500,38767,2,RD,1,100,TL
1738258654.465043,3099937.000,38767,2,RD,1,100,TU
1738258657.033152,3102505.000,39604,2,RD,1,100,TL
1738258659.601261,3105073.000,39604,2,RD,1,100,TU
1738258662.166370,3107638.000,40440,2,RD,1,100,TL
1738258664.731479,3110203.000,40440,2,RD,1,100,TU
1738258667.291588,3112763.000,41277,2,RD,1,100,TL
1738258669.851696,3115323.000,41277,2,RD,1,100,TU
1738258672.408805,3117880.000,42103,2,RD,1,100,TL
1738258674.965914,3120437.000,42103,2,RD,1,100,TU
1738258677.533023,3123004.000,42942,2,RD,1,100,TL
1738258680.100132,3125571.000,42942,2,RD,1,100,TU
1738258682.670241,3128141.000,43782,2,RD,1,100,TL
1738258685.240350,3130711.000,43782,2,RD,1,100,TU
1738258687.809460,3133280.000,44634,2,RD,1,100,TL
1738258690.378569,3135849.000,44634,2,RD,1,100,TU
1738258692.944178,3138414.500,45480,2,RD,1,100,TL
1738258695.509787,3140980.000,45480,2,RD,1,100,TU
1738258698.073396,3143543.500,46322,2,RD,1,100,TL
1738258700.637005,3146107.000,46322,2,RD,1,100,TU
1738258703.201114,3148671.000,47166,2,RD,1,100,TL
1738258705.765223,3151235.000,47166,2,RD,1,100,TU
1738258708.319831,3153789.500,47981,2,RD,1,100,TL
1738258710.874440,3156344.000,47981,2,RD,1,100,TU
