LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,T1
1738257307.656163,1810854.000,7917,1,T1,1,100,32.653
1738257307.789167,1810987.000,7948,1,T1,1,100,32.708
1738257307.922172,1811120.000,7963,1,T1,1,100,32.696
1738257308.056177,1811254.000,7980,1,T1,1,100,32.656
1738257308.189182,1811387.000,8010,1,T1,1,100,32.638
1738257308.322187,1811520.000,8025,1,T1,1,100,32.666
1738257308.456192,1811654.000,8042,1,T1,1,100,32.714
1738257308.589197,1811787.000,8074,1,T1,1,100,32.628
1738257308.722202,1811920.000,8090,1,T1,1,100,32.626
1738257308.856207,1812054.000,8108,1,T1,1,100,32.696
1738257308.989212,1812187.000,8123,1,T1,1,100,32.550
1738257309.122216,1812320.000,8154,1,T1,1,100,32.699
1738257309.256221,1812454.000,8170,1,T1,1,100,32.621
1738257309.389226,1812587.000,8186,1,T1,1,100,32.694
1738257309.522231,1812720.000,8216,1,T1,1,100,32.690
1738257309.656236,1812854.000,8232,1,T1,1,100,32.582
1738257309.789241,1812987.000,8248,1,T1,1,100,32.642
1738257309.922246,1813120.000,8278,1,T1,1,100,32.668
1738257310.055251,1813253.000,8295,1,T1,1,100,32.644
1738257310.189256,1813387.000,8310,1,T1,1,100,32.775
1738257310.322261,1813520.000,8343,1,T1,1,100,32.796
1738257310.456266,1813654.000,8364,1,T1,1,100,32.699
1738257310.589271,1813787.000,8379,1,T1,1,100,32.728
1738257310.722275,1813920.000,8396,1,T1,1,100,32.563
1738257310.855280,1814053.000,8411,1,T1,1,100,32.634
1738257310.989285,1814187.000,8442,1,T1,1,100,32.664
1738257311.122290,1814320.000,8458,1,T1,1,100,32.607
1738257311.255295,1814453.000,8473,1,T1,1,100,32.582
1738257311.389300,1814587.000,8504,1,T1,1,100,32.606
1738257311.522305,1814720.000,8520,1,T1,1,100,32.546
1738257311.655310,1814853.000,8535,1,T1,1,100,32.733
1738257311.789315,1814987.000,8566,1,T1,1,100,32.813
1738257311.922320,1815120.000,8582,1,T1,1,100,32.777
1738257312.055325,1815253.000,8598,1,T1,1,100,32.691
1738257312.189329,1815387.000,8614,1,T1,1,100,32.795
1738257312.322334,1815520.000,8645,1,T1,1,100,32.699
1738257312.455339,1815653.000,8660,1,T1,1,100,32.657
1738257312.589344,1815787.000,8676,1,T1,1,100,32.816
1738257312.722349,1815920.000,8707,1,T1,1,100,32.779
1738257312.855354,1816053.000,8722,1,T1,1,100,32.727
1738257312.989359,1816187.000,8738,1,T1,1,100,32.846
1738257313.122364,1816320.000,8769,1,T1,1,100,32.721
1738257313.255369,1816453.000,8784,1,T1,1,100,32.702
1738257313.388374,1816586.000,8801,1,T1,1,100,32.729
1738257313.522378,1816720.000,8831,1,T1,1,100,32.776
1738257313.655383,1816853.000,8846,1,T1,1,100,32.797
1738257313.788388,1816986.000,8865,1,T1,1,100,32.841
1738257313.922393,1817120.000,8895,1,T1,1,100,32.683
1738257314.055398,1817253.000,8911,1,T1,1,100,32.757
1738257314.188403,1817386.000,8927,1,T1,1,100,32.753
1738257314.322408,1817520.000,8942,1,T1,1,100,32.751
1738257314.455413,1817653.000,8973,1,T1,1,100,32.680
1738257314.589418,1817787.000,8989,1,T1,1,100,32.649
1738257314.722423,1817920.000,9005,1,T1,1,100,32.777
1738257314.855428,1818053.000,9035,1,T1,1,100,32.797
1738257314.988432,1818186.000,9051,1,T1,1,100,32.735
1738257315.122437,1818320.000,9067,1,T1,1,100,32.779
1738257315.255442,1818453.000,9097,1,T1,1,100,32.727
1738257315.388447,1818586.000,9114,1,T1,1,100,32.705
1738257315.522452,1818720.000,9129,1,T1,1,100,32.695
1738257315.655457,1818853.000,9150,1,T1,1,100,32.833
1738257315.788462,1818986.000,9166,1,T1,1,100,32.750
1738257315.922467,1819120.000,9196,1,T1,1,100,32.786
1738257316.055472,1819253.000,9213,1,T1,1,100,32.801
1738257316.188477,1819386.000,9228,1,T1,1,100,32.772
1738257316.321481,1819519.000,9259,1,T1,1,100,32.866
1738257316.455487,1819653.000,9275,1,T1,1,100,32.694
1738257316.588491,1819786.000,9290,1,T1,1,100,32.548
1738257316.721496,1819919.000,9321,1,T1,1,100,32.698
1738257316.855501,1820053.000,9337,1,T1,1,100,32.799
1738257316.988506,1820186.000,9352,1,T1,1,100,32.736
1738257317.121511,1820319.000,9383,1,T1,1,100,32.744
1738257317.255516,1820453.000,9399,1,T1,1,100,32.676
1738257317.388521,1820586.000,9415,1,T1,1,100,32.718
1738257317.521526,1820719.000,9445,1,T1,1,100,32.807
1738257317.655531,1820853.000,9461,1,T1,1,100,32.704
1738257317.788536,1820986.000,9477,1,T1,1,100,32.695
1738257317.921540,1821119.000,9493,1,T1,1,100,32.620
1738257318.055545,1821253.000,9524,1,T1,1,100,32.765
1738257318.188550,1821386.000,9539,1,T1,1,100,32.721
1738257318.321555,1821519.000,9555,1,T1,1,100,32.808
1738257318.455560,1821653.000,9586,1,T1,1,100,32.669
1738257318.588565,1821786.000,9601,1,T1,1,100,32.679
1738257318.721570,1821919.000,9618,1,T1,1,100,32.897
1738257318.855575,1822053.000,9650,1,T1,1,100,32.849
1738257318.988580,1822186.000,9665,1,T1,1,100,32.722
1738257319.121585,1822319.000,9682,1,T1,1,100,32.773
1738257319.255589,1822453.000,9712,1,T1,1,100,32.902
1738257319.388594,1822586.000,9728,1,T1,1,100,32.922
1738257319.521599,1822719.000,9744,1,T1,1,100,32.754
1738257319.655604,1822853.000,9759,1,T1,1,100,32.858
1738257319.788609,1822986.000,9792,1,T1,1,100,32.868
1738257319.921614,1823119.000,9808,1,T1,1,100,32.872
1738257320.055619,1823253.000,9824,1,T1,1,100,32.874
1738257320.188624,1823386.000,9854,1,T1,1,100,32.768
1738257320.321629,1823519.000,9870,1,T1,1,100,32.758
1738257320.455634,1823653.000,9886,1,T1,1,100,32.682
1738257320.588639,1823786.000,9916,1,T1,1,100,32.756
1738257320.721643,1823919.000,9940,1,T1,1,100,32.753
1738257320.854648,1824052.000,9955,1,T1,1,100,32.751
1738257320.988653,1824186.000,9986,1,T1,1,100,32.715
1738257321.121658,1824319.000,10002,1,T1,1,100,32.877
1738257321.254663,1824452.000,10017,1,T1,1,100,32.840
1738257321.388668,1824586.000,10033,1,T1,1,100,32.895
1738257321.521673,1824719.000,10064,1,T1,1,100,32.742
1738257321.654678,1824852.000,10079,1,T1,1,100,32.640
1738257321.788683,1824986.000,10096,1,T1,1,100,32.702
