LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,EL
1738260755.405138,607937.000,30051,2,EL,1,100,-13389.799805
1738260755.472141,608004.000,30067,1,EL,1,100,-13390.000000
1738260755.538643,608070.500,30081,2,EL,1,100,-13390.799805
1738260755.605146,608137.000,30081,2,EL,1,100,-13391.200195
1738260755.672148,608204.000,30097,1,EL,1,100,-13392.000000
1738260755.738651,608270.500,30113,2,EL,1,100,-13391.799805
1738260755.805153,608337.000,30113,2,EL,1,100,-13392.000000
1738260755.872156,608404.000,30129,1,EL,1,100,-13393.000000
1738260755.938658,608470.500,30143,2,EL,1,100,-13393.599609
1738260756.005161,608537.000,30143,2,EL,1,100,-13394.200195
1738260756.072163,608604.000,30160,1,EL,1,100,-13395.000000
1738260756.138666,608670.500,30175,2,EL,1,100,-13395.200195
1738260756.205168,608737.000,30175,2,EL,1,100,-13396.000000
1738260756.272171,608804.000,30191,1,EL,1,100,-13396.400391
1738260756.338673,608870.500,30206,2,EL,1,100,-13396.799805
1738260756.405176,608937.000,30206,2,EL,1,100,-13397.200195
1738260756.472178,609004.000,30222,1,EL,1,100,-13398.000000
1738260756.538681,609070.500,30239,2,EL,1,100,-13398.000000
1738260756.605184,609137.000,30239,2,EL,1,100,-13398.599609
1738260756.672186,609204.000,30256,2,EL,1,100,-13399.000000
1738260756.739189,609271.000,30256,2,EL,1,100,-13399.400391
1738260756.805191,609337.000,30271,1,EL,1,100,-13400.400391
1738260756.872194,609404.000,30286,2,EL,1,100,-13401.000000
1738260756.939196,609471.000,30286,2,EL,1,100,-13401.000000
1738260757.005199,609537.000,30301,1,EL,1,100,-13401.000000
1738260757.072201,609604.000,30318,2,EL,1,100,-13401.799805
1738260757.139204,609671.000,30318,2,EL,1,100,-13402.000000
1738260757.205206,609737.000,30333,1,EL,1,100,-13402.200195
1738260757.271709,609803.500,30348,2,EL,1,100,-13402.799805
1738260757.338211,609870.000,30348,2,EL,1,100,-13403.400391
1738260757.405214,609937.000,30364,1,EL,1,100,-13403.400391
1738260757.471716,610003.500,30384,2,EL,1,100,-13404.000000
1738260757.538219,610070.000,30384,2,EL,1,100,-13404.599609
1738260757.605222,610137.000,30399,1,EL,1,100,-13404.799805
1738260757.671724,610203.500,30415,2,EL,1,100,-13404.599609
1738260757.738227,610270.000,30415,2,EL,1,100,-13404.799805
1738260757.805229,610337.000,30430,1,EL,1,100,-13405.799805
1738260757.871732,610403.500,30446,2,EL,1,100,-13406.200195
1738260757.938234,610470.000,30446,2,EL,1,100,-13407.000000
1738260758.005237,610537.000,30461,1,EL,1,100,-13408.000000
1738260758.071739,610603.500,30477,2,EL,1,100,-13408.599609
1738260758.138242,610670.000,30477,2,EL,1,100,-13408.599609
1738260758.205244,610737.000,30492,1,EL,1,100,-13409.000000
1738260758.271747,610803.500,30510,2,EL,1,100,-13409.799805
1738260758.338249,610870.000,30510,2,EL,1,100,-13410.200195
1738260758.405252,610937.000,30526,1,EL,1,100,-13410.400391
1738260758.471754,611003.500,30542,2,EL,1,100,-13410.599609
1738260758.538257,611070.000,30542,2,EL,1,100,-13411.000000
1738260758.605259,611137.000,30561,2,EL,1,100,-13411.799805
1738260758.672262,611204.000,30561,2,EL,1,100,-13412.000000
1738260758.738265,611270.000,30578,1,EL,1,100,-13412.400391
1738260758.805267,611337.000,30593,2,EL,1,100,-13413.000000
1738260758.872270,611404.000,30593,2,EL,1,100,-13414.000000
1738260758.938272,611470.000,30609,1,EL,1,100,-13414.200195
1738260759.005275,611537.000,30624,2,EL,1,100,-13415.000000
1738260759.072277,611604.000,30624,2,EL,1,100,-13415.200195
1738260759.139280,611671.000,30640,1,EL,1,100,-13415.200195
1738260759.205782,611737.500,30655,2,EL,1,100,-13416.000000
1738260759.272285,611804.000,30655,2,EL,1,100,-13416.599609
1738260759.338287,611870.000,30673,1,EL,1,100,-13417.200195
1738260759.405290,611937.000,30688,2,EL,1,100,-13418.599609
1738260759.472292,612004.000,30688,2,EL,1,100,-13418.599609
1738260759.538295,612070.000,30704,1,EL,1,100,-13418.200195
1738260759.605297,612137.000,30719,2,EL,1,100,-13419.000000
1738260759.672300,612204.000,30719,2,EL,1,100,-13419.200195
1738260759.738302,612270.000,30736,1,EL,1,100,-13419.599609
1738260759.805305,612337.000,30750,2,EL,1,100,-13420.400391
1738260759.872308,612404.000,30750,2,EL,1,100,-13421.799805
1738260759.938310,612470.000,30766,1,EL,1,100,-13422.000000
1738260760.005313,612537.000,30782,2,EL,1,100,-13422.000000
1738260760.072315,612604.000,30782,2,EL,1,100,-13422.799805
1738260760.138318,612670.000,30798,1,EL,1,100,-13423.400391
1738260760.204820,612736.500,30815,2,EL,1,100,-13423.799805
1738260760.271323,612803.000,30815,2,EL,1,100,-13424.000000
1738260760.338325,612870.000,30831,2,EL,1,100,-13424.799805
1738260760.405328,612937.000,30831,2,EL,1,100,-13425.799805
1738260760.471330,613003.000,30846,1,EL,1,100,-13426.200195
1738260760.538333,613070.000,30862,2,EL,1,100,-13426.799805
1738260760.605335,613137.000,30862,2,EL,1,100,-13427.200195
1738260760.672338,613204.000,30877,1,EL,1,100,-13427.400391
1738260760.738840,613270.500,30893,2,EL,1,100,-13428.000000
1738260760.805343,613337.000,30893,2,EL,1,100,-13428.200195
1738260760.871346,613403.000,30908,1,EL,1,100,-13429.200195
1738260760.938348,613470.000,30924,2,EL,1,100,-13430.200195
1738260761.005351,613537.000,30924,2,EL,1,100,-13430.400391
1738260761.071353,613603.000,30940,1,EL,1,100,-13430.799805
1738260761.138355,613670.000,30955,2,EL,1,100,-13430.799805
1738260761.205358,613737.000,30955,2,EL,1,100,-13431.000000
1738260761.271361,613803.000,30972,1,EL,1,100,-13431.799805
1738260761.338363,613870.000,30989,2,EL,1,100,-13433.000000
1738260761.405366,613937.000,30989,2,EL,1,100,-13433.000000
1738260761.471368,614003.000,31004,1,EL,1,100,-13433.000000
1738260761.538371,614070.000,31019,2,EL,1,100,-13433.000000
1738260761.605373,614137.000,31019,2,EL,1,100,-13433.400391
1738260761.672376,614204.000,31034,1,EL,1,100,-13434.000000
1738260761.738878,614270.500,31051,2,EL,1,100,-13434.599609
1738260761.805381,614337.000,31051,2,EL,1,100,-13435.000000
1738260761.871383,614403.000,31066,1,EL,1,100,-13435.200195
1738260761.938386,614470.000,31082,2,EL,1,100,-13435.799805
1738260762.005388,614537.000,31082,2,EL,1,100,-13436.200195
1738260762.071391,614603.000,31097,1,EL,1,100,-13436.599609
1738260762.138393,614670.000,31115,2,EL,1,100,-13436.799805
1738260762.205396,614737.000,31115,2,EL,1,100,-13437.799805
1738260762.271399,614803.000,31130,1,EL,1,100,-13438.799805
1738260762.338401,614870.000,31147,2,EL,1,100,-13439.000000
1738260762.405404,614937.000,31147,2,EL,1,100,-13439.000000
1738260762.471906,615003.500,31163,2,EL,1,100,-13439.599609
1738260762.538409,615070.000,31163,2,EL,1,100,-13440.200195
1738260762.605411,615137.000,31179,1,EL,1,100,-13440.599609
1738260762.671914,615203.500,31195,2,EL,1,100,-13441.599609
1738260762.738416,615270.000,31195,2,EL,1,100,-13441.200195
1738260762.805419,615337.000,31211,1,EL,1,100,-13442.200195
1738260762.871921,615403.500,31225,2,EL,1,100,-13442.599609
1738260762.938424,615470.000,31225,2,EL,1,100,-13442.799805
1738260763.005426,615537.000,31241,1,EL,1,100,-13443.799805
1738260763.071929,615603.500,31259,2,EL,1,100,-13443.599609
1738260763.138432,615670.000,31259,2,EL,1,100,-13443.799805
1738260763.205434,615737.000,31275,1,EL,1,100,-13445.000000
1738260763.271936,615803.500,31289,2,EL,1,100,-13445.799805
1738260763.338439,615870.000,31289,2,EL,1,100,-13446.200195
1738260763.405442,615937.000,31306,1,EL,1,100,-13447.000000
1738260763.471944,616003.500,31321,2,EL,1,100,-13446.799805
1738260763.538447,616070.000,31321,2,EL,1,100,-13447.000000
1738260763.605449,616137.000,31337,1,EL,1,100,-13447.000000
1738260763.671952,616203.500,31352,2,EL,1,100,-13447.599609
