LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,PI
1738257281.181322,1754247.000,16432,10,PI,1,100,164829
1738257281.191049,1754256.727,16448,11,PI,1,100,164817
1738257281.200777,1754266.455,16448,11,PI,1,100,164838
1738257281.210505,1754276.182,16448,11,PI,1,100,164805
1738257281.220232,1754285.909,16448,11,PI,1,100,164776
1738257281.229960,1754295.636,16448,11,PI,1,100,164796
1738257281.239688,1754305.364,16448,11,PI,1,100,164789
1738257281.249415,1754315.091,16448,11,PI,1,100,164799
1738257281.259143,1754324.818,16448,11,PI,1,100,164813
1738257281.268871,1754334.545,16448,11,PI,1,100,164809
1738257281.278599,1754344.273,16448,11,PI,1,100,164819
1738257281.288326,1754354.000,16448,11,PI,1,100,164808
1738257281.298660,1754364.333,16464,9,PI,1,100,164811
1738257281.308994,1754374.667,16464,9,PI,1,100,164783
1738257281.319328,1754385.000,16464,9,PI,1,100,164810
1738257281.329661,1754395.333,16464,9,PI,1,100,164802
1738257281.339995,1754405.667,16464,9,PI,1,100,164792
1738257281.350329,1754416.000,16464,9,PI,1,100,164787
1738257281.360663,1754426.333,16464,9,PI,1,100,164833
1738257281.370996,1754436.667,16464,9,PI,1,100,164757
1738257281.381330,1754447.000,16464,9,PI,1,100,164808
1738257281.391058,1754456.727,16484,11,PI,1,100,164830
1738257281.400786,1754466.455,16484,11,PI,1,100,164782
1738257281.410513,1754476.182,16484,11,PI,1,100,164847
1738257281.420241,1754485.909,16484,11,PI,1,100,164829
1738257281.429969,1754495.636,16484,11,PI,1,100,164847
1738257281.439697,1754505.364,16484,11,PI,1,100,164869
1738257281.449424,1754515.091,16484,11,PI,1,100,164802
1738257281.459152,1754524.818,16484,11,PI,1,100,164852
1738257281.468880,1754534.545,16484,11,PI,1,100,164849
1738257281.478607,1754544.273,16484,11,PI,1,100,164873
1738257281.488335,1754554.000,16484,11,PI,1,100,164819
1738257281.498935,1754564.600,16500,10,PI,1,100,164871
1738257281.509536,1754575.200,16500,10,PI,1,100,164836
1738257281.520136,1754585.800,16500,10,PI,1,100,164833
1738257281.530737,1754596.400,16500,10,PI,1,100,164846
1738257281.541337,1754607.000,16500,10,PI,1,100,164855
1738257281.551938,1754617.600,16500,10,PI,1,100,164854
1738257281.562538,1754628.200,16500,10,PI,1,100,164865
1738257281.573139,1754638.800,16500,10,PI,1,100,164873
1738257281.583739,1754649.400,16500,10,PI,1,100,164855
1738257281.594340,1754660.000,16500,10,PI,1,100,164840
1738257281.604067,1754669.727,16516,11,PI,1,100,164884
1738257281.613795,1754679.455,16516,11,PI,1,100,164847
1738257281.623523,1754689.182,16516,11,PI,1,100,164878
1738257281.633250,1754698.909,16516,11,PI,1,100,164927
1738257281.642978,1754708.636,16516,11,PI,1,100,164843
1738257281.652706,1754718.364,16516,11,PI,1,100,164864
1738257281.662434,1754728.091,16516,11,PI,1,100,164876
1738257281.672161,1754737.818,16516,11,PI,1,100,164890
1738257281.681889,1754747.545,16516,11,PI,1,100,164857
1738257281.691617,1754757.273,16516,11,PI,1,100,164845
1738257281.701344,1754767.000,16516,11,PI,1,100,164890
1738257281.711678,1754777.333,16533,9,PI,1,100,164856
