LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,MZ
1738257286.101537,1759167.000,17265,2,MZ,1,100,-25
1738257286.141538,1759207.000,17265,2,MZ,1,100,-21
1738257286.181540,1759247.000,17280,3,MZ,1,100,-21
1738257286.221542,1759287.000,17280,3,MZ,1,100,-24
1738257286.261544,1759327.000,17280,3,MZ,1,100,-21
1738257286.301545,1759367.000,17297,2,MZ,1,100,-23
1738257286.341547,1759407.000,17297,2,MZ,1,100,-23
1738257286.381215,1759446.667,17314,3,MZ,1,100,-22
1738257286.420884,1759486.333,17314,3,MZ,1,100,-22
1738257286.460552,1759526.000,17314,3,MZ,1,100,-24
1738257286.507554,1759573.000,17333,2,MZ,1,100,-22
1738257286.554556,1759620.000,17333,2,MZ,1,100,-23
1738257286.594558,1759660.000,17348,2,MZ,1,100,-23
1738257286.634560,1759700.000,17348,2,MZ,1,100,-21
1738257286.674562,1759740.000,17366,3,MZ,1,100,-24
1738257286.714563,1759780.000,17366,3,MZ,1,100,-23
1738257286.754565,1759820.000,17366,3,MZ,1,100,-21
1738257286.794567,1759860.000,17382,2,MZ,1,100,-22
1738257286.834569,1759900.000,17382,2,MZ,1,100,-21
1738257286.874570,1759940.000,17399,3,MZ,1,100,-22
1738257286.914572,1759980.000,17399,3,MZ,1,100,-23
