LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,EM
1738263935.569656,200188.500,29519,4,EM,1,100,RB
1738263935.621408,200240.250,29519,4,EM,1,100,2025-01-30_12-05-23-991747.csv
1738263935.673160,200292.000,29519,4,EM,1,100,PS
1738263935.724162,200343.000,29552,4,EM,1,100,RS
1738263935.775164,200394.000,29552,4,EM,1,100,RB
1738263935.826166,200445.000,29552,4,EM,1,100,2025-01-30_12-05-23-991747.csv
1738263935.877168,200496.000,29552,4,EM,1,100,PS
1738263935.931670,200550.500,29586,4,EM,1,100,RS
1738263935.986172,200605.000,29586,4,EM,1,100,RB
1738263936.040674,200659.500,29586,4,EM,1,100,2025-01-30_12-05-23-991747.csv
1738263936.095176,200714.000,29586,4,EM,1,100,PS
1738263936.145178,200764.000,29619,4,EM,1,100,RS
1738263936.195180,200814.000,29619,4,EM,1,100,RB
1738263936.245182,200864.000,29619,4,EM,1,100,2025-01-30_12-05-23-991747.csv
1738263936.295184,200914.000,29619,4,EM,1,100,PS
1738263936.345686,200964.500,29652,4,EM,1,100,RS
1738263936.396188,201015.000,29652,4,EM,1,100,RB
1738263936.446690,201065.500,29652,4,EM,1,100,2025-01-30_12-05-23-991747.csv
1738263936.497192,201116.000,29652,4,EM,1,100,PS
1738263936.547444,201166.250,29685,4,EM,1,100,RS
1738263936.597696,201216.500,29685,4,EM,1,100,RB
1738263936.647948,201266.750,29685,4,EM,1,100,2025-01-30_12-05-23-991747.csv
1738263936.698200,201317.000,29685,4,EM,1,100,PS
1738263936.748452,201367.250,29718,4,EM,1,100,RS
1738263936.798704,201417.500,29718,4,EM,1,100,RB
1738263936.848956,201467.750,29718,4,EM,1,100,2025-01-30_12-05-23-991747.csv
1738263936.899208,201518.000,29718,4,EM,1,100,PS
1738263936.949460,201568.250,29752,4,EM,1,100,RS
1738263936.999712,201618.500,29752,4,EM,1,100,RB
1738263937.049964,201668.750,29752,4,EM,1,100,2025-01-30_12-05-23-991747.csv
1738263937.100216,201719.000,29752,4,EM,1,100,PS
1738263937.151218,201770.000,29784,4,EM,1,100,RS
1738263937.202220,201821.000,29784,4,EM,1,100,RB
1738263937.253222,201872.000,29784,4,EM,1,100,2025-01-30_12-05-23-991747.csv
1738263937.304224,201923.000,29784,4,EM,1,100,PS
1738263937.354476,201973.250,29818,4,EM,1,100,RS
1738263937.404728,202023.500,29818,4,EM,1,100,RB
1738263937.454980,202073.750,29818,4,EM,1,100,2025-01-30_12-05-23-991747.csv
1738263937.505232,202124.000,29818,4,EM,1,100,PS
1738263937.555484,202174.250,29851,4,EM,1,100,RS
1738263937.605736,202224.500,29851,4,EM,1,100,RB
1738263937.655988,202274.750,29851,4,EM,1,100,2025-01-30_12-05-23-991747.csv
1738263937.706240,202325.000,29851,4,EM,1,100,PS
1738263937.756492,202375.250,29884,4,EM,1,100,RS
1738263937.806744,202425.500,29884,4,EM,1,100,RB
1738263937.856996,202475.750,29884,4,EM,1,100,2025-01-30_12-05-23-991747.csv
1738263937.907248,202526.000,29884,4,EM,1,100,PS
1738263937.957749,202576.500,29917,4,EM,1,100,RS
1738263938.008251,202627.000,29917,4,EM,1,100,RB
1738263938.058753,202677.500,29917,4,EM,1,100,2025-01-30_12-05-23-991747.csv
1738263938.109256,202728.000,29917,4,EM,1,100,PS
1738263938.159257,202778.000,29950,4,EM,1,100,RS
1738263938.209259,202828.000,29950,4,EM,1,100,RB
1738263938.259261,202878.000,29950,4,EM,1,100,2025-01-30_12-05-23-991747.csv
1738263938.309263,202928.000,29950,4,EM,1,100,PS
1738263938.361515,202980.250,29983,4,EM,1,100,RS
1738263938.413767,203032.500,29983,4,EM,1,100,RB
1738263938.466019,203084.750,29983,4,EM,1,100,2025-01-30_12-05-23-991747.csv
1738263938.518271,203137.000,29983,4,EM,1,100,PS
1738263938.568523,203187.250,30017,4,EM,1,100,RS
1738263938.618775,203237.500,30017,4,EM,1,100,RB
1738263938.669027,203287.750,30017,4,EM,1,100,2025-01-30_12-05-23-991747.csv
1738263938.719280,203338.000,30017,4,EM,1,100,PS
1738263938.769531,203388.250,30049,4,EM,1,100,RS
1738263938.819783,203438.500,30049,4,EM,1,100,RB
1738263938.870035,203488.750,30049,4,EM,1,100,2025-01-30_12-05-23-991747.csv
1738263938.920287,203539.000,30049,4,EM,1,100,PS
1738263938.970539,203589.250,30083,4,EM,1,100,RS
1738263939.020791,203639.500,30083,4,EM,1,100,RB
1738263939.071043,203689.750,30083,4,EM,1,100,2025-01-30_12-05-23-991747.csv
1738263939.121295,203740.000,30083,4,EM,1,100,PS
1738263939.171547,203790.250,30115,4,EM,1,100,RS
1738263939.221799,203840.500,30115,4,EM,1,100,RB
1738263939.272051,203890.750,30115,4,EM,1,100,2025-01-30_12-05-23-991747.csv
1738263939.322303,203941.000,30115,4,EM,1,100,PS
1738263939.372555,203991.250,30149,4,EM,1,100,RS
1738263939.422807,204041.500,30149,4,EM,1,100,RB
1738263939.473059,204091.750,30149,4,EM,1,100,2025-01-30_12-05-23-991747.csv
1738263939.523311,204142.000,30149,4,EM,1,100,PS
1738263939.600064,204218.750,30185,4,EM,1,100,RS
1738263939.676817,204295.500,30185,4,EM,1,100,RB
1738263939.753570,204372.250,30185,4,EM,1,100,2025-01-30_12-05-23-991747.csv
1738263939.830323,204449.000,30185,4,EM,1,100,PS
1738263939.880575,204499.250,30218,4,EM,1,100,RS
1738263939.930827,204549.500,30218,4,EM,1,100,RB
1738263939.981079,204599.750,30218,4,EM,1,100,2025-01-30_12-05-23-991747.csv
1738263940.031331,204650.000,30218,4,EM,1,100,PS
1738263940.081583,204700.250,30252,4,EM,1,100,RS
1738263940.131835,204750.500,30252,4,EM,1,100,RB
1738263940.182087,204800.750,30252,4,EM,1,100,2025-01-30_12-05-23-991747.csv
1738263940.232339,204851.000,30252,4,EM,1,100,PS
1738263940.282591,204901.250,30287,4,EM,1,100,RS
1738263940.332843,204951.500,30287,4,EM,1,100,RB
1738263940.383095,205001.750,30287,4,EM,1,100,2025-01-30_12-05-23-991747.csv
1738263940.433347,205052.000,30287,4,EM,1,100,PS
1738263940.484349,205103.000,30320,4,EM,1,100,RS
1738263940.535351,205154.000,30320,4,EM,1,100,RB
1738263940.586353,205205.000,30320,4,EM,1,100,2025-01-30_12-05-23-991747.csv
1738263940.637355,205256.000,30320,4,EM,1,100,PS
1738263940.687607,205306.250,30353,4,EM,1,100,RS
1738263940.737859,205356.500,30353,4,EM,1,100,RB
1738263940.788111,205406.750,30353,4,EM,1,100,2025-01-30_12-05-23-991747.csv
1738263940.838363,205457.000,30353,4,EM,1,100,PS
1738263940.888615,205507.250,30388,4,EM,1,100,RS
1738263940.938867,205557.500,30388,4,EM,1,100,RB
1738263940.989119,205607.750,30388,4,EM,1,100,2025-01-30_12-05-23-991747.csv
1738263941.039371,205658.000,30388,4,EM,1,100,PS
1738263941.089623,205708.250,30421,4,EM,1,100,RS
1738263941.139875,205758.500,30421,4,EM,1,100,RB
1738263941.190127,205808.750,30421,4,EM,1,100,2025-01-30_12-05-23-991747.csv
1738263941.240379,205859.000,30421,4,EM,1,100,PS
1738263941.290880,205909.500,30455,4,EM,1,100,RS
1738263941.341383,205960.000,30455,4,EM,1,100,RB
