LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,HR
1738261276.182115,1182324,59504,1,HR,1,100,263.27
1738261278.445209,1184587,59876,1,HR,1,100,210.71
1738261279.655258,1185797,60061,1,HR,1,100,175.00
1738261280.869308,1187011,60264,1,HR,1,100,147.13
1738261281.885350,1188027,60435,1,HR,1,100,127.77
1738261283.408413,1189550,60685,1,HR,1,100,108.20
1738261284.402455,1190544,60853,1,HR,1,100,97.62
1738261285.698508,1191840,61055,1,HR,1,100,86.35
1738261287.115566,1193257,61297,1,HR,1,100,76.61
1738261288.511624,1194653,61531,1,HR,1,100,69.25
1738261289.564668,1195706,61698,1,HR,1,100,66.68
1738261291.001727,1197143,61934,1,HR,1,100,61.19
1738261292.124774,1198266,62125,1,HR,1,100,59.60
1738261293.167817,1199309,62292,1,HR,1,100,59.18
1738261293.227819,1199369,62294,1,HR,1,100,268.26
1738261294.631877,1200773,62528,1,HR,1,100,218.24
1738261296.790966,1202932,62902,1,HR,1,100,175.97
1738261298.058018,1204199,63103,1,HR,1,100,147.53
1738261300.211107,1206352,63452,1,HR,1,100,120.97
1738261302.517203,1208658,63826,1,HR,1,100,99.91
1738261303.801256,1209942,64044,1,HR,1,100,88.21
1738261305.087309,1211228,64245,1,HR,1,100,79.10
1738261307.303401,1213444,64618,1,HR,1,100,67.59
1738261308.760461,1214901,64853,1,HR,1,100,61.83
1738261309.707500,1215848,65003,1,HR,1,100,62.27
1738261310.913549,1217054,65206,1,HR,1,100,59.54
1738261312.463614,1218604,65463,1,HR,1,100,54.97
1738261313.246646,1219387,61,1,HR,1,100,60.07
1738261314.320690,1220461,229,1,HR,1,100,59.18
1738261315.736749,1221877,465,1,HR,1,100,55.55
1738261317.206810,1223347,715,1,HR,1,100,52.34
1738261317.846836,1223987,821,1,HR,1,100,61.87
1738261317.932839,1224073,840,1,HR,1,100,196.28
1738261318.872878,1225013,991,1,HR,1,100,167.00
1738261320.192933,1226333,1209,1,HR,1,100,140.06
1738261322.640034,1228780,1614,1,HR,1,100,114.45
1738261325.349146,1231489,2048,1,HR,1,100,93.97
1738261326.343187,1232483,2216,1,HR,1,100,86.69
1738261329.016297,1235156,2656,1,HR,1,100,72.46
1738261329.939335,1236079,2823,1,HR,1,100,70.85
1738261331.289391,1237429,3043,1,HR,1,100,65.05
1738261331.425397,1237565,3062,1,HR,1,100,153.17
1738261332.859456,1238999,3301,1,HR,1,100,128.52
1738261333.759493,1239899,3453,1,HR,1,100,114.77
1738261334.965543,1241105,3653,1,HR,1,100,100.47
1738261336.432604,1242572,3890,1,HR,1,100,87.28
1738261337.375643,1243515,4057,1,HR,1,100,82.22
1738261338.471688,1244611,4230,1,HR,1,100,76.18
1738261339.921748,1246061,4479,1,HR,1,100,68.51
1738261340.832785,1246972,4633,1,HR,1,100,68.10
1738261342.124839,1248264,4834,1,HR,1,100,63.38
1738261343.328888,1249468,5039,1,HR,1,100,60.50
1738261344.764948,1250904,5274,1,HR,1,100,56.38
1738261345.537980,1251677,5410,1,HR,1,100,61.40
1738261348.641108,1254780,5914,1,HR,1,100,52.08
1738261349.901160,1256040,6131,1,HR,1,100,51.17
1738261352.344261,1258483,6533,1,HR,1,100,45.31
1738261354.757360,1260896,6922,1,HR,1,100,40.82
1738261356.977452,1263116,7290,1,HR,1,100,37.81
1738261359.034537,1265173,7627,1,HR,1,100,35.94
1738261359.090539,1265229,7646,1,HR,1,100,250.19
1738261361.354633,1267493,8015,1,HR,1,100,200.54
1738261362.733690,1268872,8232,1,HR,1,100,165.71
1738261364.093746,1270232,8455,1,HR,1,100,138.76
1738261365.307796,1271446,8655,1,HR,1,100,119.03
1738261366.626851,1272765,8874,1,HR,1,100,102.76
1738261367.686894,1273825,9059,1,HR,1,100,92.62
1738261371.917069,1278055,9749,1,HR,1,100,75.22
1738261375.740227,1281878,10387,1,HR,1,100,62.02
1738261378.169327,1284307,10787,1,HR,1,100,53.77
1738261379.319375,1285457,10976,1,HR,1,100,53.52
1738261380.749434,1286887,11228,1,HR,1,100,51.01
1738261381.736475,1287874,11380,1,HR,1,100,53.28
1738261382.869522,1289007,11580,1,HR,1,100,53.35
1738261383.772559,1289910,11716,1,HR,1,100,56.31
1738261385.559633,1291697,12023,1,HR,1,100,51.33
1738261386.499671,1292637,12174,1,HR,1,100,54.26
1738261387.752723,1293890,12376,1,HR,1,100,52.95
1738261389.005775,1295143,12581,1,HR,1,100,51.94
1738261390.335830,1296473,12800,1,HR,1,100,50.50
1738261392.851934,1298989,13217,1,HR,1,100,44.61
1738261394.294993,1300432,13456,1,HR,1,100,44.02
1738261395.375038,1301512,13642,1,HR,1,100,46.70
1738261396.102068,1302239,13760,1,HR,1,100,54.84
1738261396.189072,1302326,13778,1,HR,1,100,209.33
1738261397.105110,1303242,13930,1,HR,1,100,177.46
1738261399.092192,1305229,14246,1,HR,1,100,144.79
1738261400.248240,1306385,14436,1,HR,1,100,124.21
1738261400.428247,1306565,14474,1,HR,1,100,170.68
1738261401.595295,1307732,14674,1,HR,1,100,144.35
1738261403.155360,1309292,14925,1,HR,1,100,120.87
1738261404.415411,1310552,15131,1,HR,1,100,104.68
1738261405.785468,1311922,15351,1,HR,1,100,91.22
1738261406.934515,1313071,15534,1,HR,1,100,82.64
1738261407.984559,1314121,15720,1,HR,1,100,77.10
1738261409.834635,1315971,16026,1,HR,1,100,67.25
1738261409.951640,1316088,16043,1,HR,1,100,163.42
1738261412.214734,1318351,16412,1,HR,1,100,133.06
1738261412.424742,1318561,16448,1,HR,1,100,166.98
1738261413.447785,1319584,16615,1,HR,1,100,143.08
1738261414.210816,1320347,16749,1,HR,1,100,128.82
1738261415.667876,1321804,16991,1,HR,1,100,109.45
1738261419.397030,1325533,17606,1,HR,1,100,88.73
1738261420.651082,1326787,17813,1,HR,1,100,79.68
1738261423.204188,1329340,18229,1,HR,1,100,67.24
1738261424.304233,1330440,18414,1,HR,1,100,64.53
1738261425.574286,1331710,18622,1,HR,1,100,60.77
1738261426.493323,1332629,18773,1,HR,1,100,61.92
1738261428.576410,1334712,19123,1,HR,1,100,54.63
1738261429.523448,1335659,19274,1,HR,1,100,56.68
1738261430.477488,1336613,19433,1,HR,1,100,58.12
1738261430.573492,1336709,19451,1,HR,1,100,193.36
1738261431.766541,1337902,19652,1,HR,1,100,161.59
1738261432.979591,1339115,19852,1,HR,1,100,136.79
1738261434.196642,1340332,20053,1,HR,1,100,117.50
1738261435.536697,1341672,20278,1,HR,1,100,101.42
1738261438.115803,1344251,20711,1,HR,1,100,84.09
1738261439.495861,1345631,20928,1,HR,1,100,75.13
1738261441.365938,1347501,21234,1,HR,1,100,65.64
1738261445.819122,1351954,21973,1,HR,1,100,54.07
