LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,AK
1738260989.723462,1002432.000,28322,2,AK,1,100,RD
1738260992.268055,1004976.500,29144,2,AK,1,100,28320
1738260994.812648,1007521.000,29144,2,AK,1,100,RD
1738260994.842149,1007550.500,29147,2,AK,1,100,29145
1738260994.871650,1007580.000,29147,2,AK,1,100,RD
1738260997.397743,1010106.000,29959,2,AK,1,100,29145
1738260999.923835,1012632.000,29959,2,AK,1,100,RD
1738260999.934836,1012643.000,29962,2,AK,1,100,29960
1738260999.945836,1012654.000,29962,2,AK,1,100,RD
1738261002.488929,1015197.000,30779,2,AK,1,100,29960
1738261005.032022,1017740.000,30779,2,AK,1,100,RD
1738261005.042523,1017750.500,30782,2,AK,1,100,30780
1738261005.053023,1017761.000,30782,2,AK,1,100,RD
1738261007.596617,1020304.500,31600,2,AK,1,100,30780
1738261010.140209,1022848.000,31600,2,AK,1,100,RD
1738261010.150710,1022858.500,31603,2,AK,1,100,31601
1738261010.161210,1022869.000,31603,2,AK,1,100,RD
1738261012.706304,1025414.000,32414,2,AK,1,100,31601
1738261015.251397,1027959.000,32414,2,AK,1,100,RD
1738261015.260897,1027968.500,32417,2,AK,1,100,32415
1738261015.270397,1027978.000,32417,2,AK,1,100,RD
1738261017.814991,1030522.500,33240,2,AK,1,100,32415
1738261020.359584,1033067.000,33240,2,AK,1,100,RD
1738261022.927678,1035635.000,34056,2,AK,1,100,33241
1738261025.495772,1038203.000,34056,2,AK,1,100,RD
1738261025.497272,1038204.500,34058,2,AK,1,100,33241
1738261025.498772,1038206.000,34058,2,AK,1,100,RD
1738261025.515273,1038222.500,34061,2,AK,1,100,34059
1738261025.531773,1038239.000,34061,2,AK,1,100,RD
1738261028.084867,1040792.000,34874,2,AK,1,100,34059
1738261030.637960,1043345.000,34874,2,AK,1,100,RD
1738261030.646461,1043353.500,34877,2,AK,1,100,34875
1738261030.654961,1043362.000,34877,2,AK,1,100,RD
1738261033.216055,1045923.000,35691,2,AK,1,100,34875
1738261035.777148,1048484.000,35691,2,AK,1,100,RD
1738261035.796149,1048503.000,35694,2,AK,1,100,35692
1738261035.815150,1048522.000,35694,2,AK,1,100,RD
1738261038.359243,1051066.000,36508,2,AK,1,100,35692
1738261040.903336,1053610.000,36508,2,AK,1,100,RD
1738261040.927337,1053634.000,36511,2,AK,1,100,36509
1738261040.951338,1053658.000,36511,2,AK,1,100,RD
1738261043.490431,1056197.000,37330,2,AK,1,100,36509
1738261046.029524,1058736.000,37330,2,AK,1,100,RD
1738261046.053025,1058759.500,37333,2,AK,1,100,37331
1738261046.076526,1058783.000,37333,2,AK,1,100,RD
1738261048.613619,1061320.000,38149,2,AK,1,100,37331
1738261051.150712,1063857.000,38149,2,AK,1,100,RD
1738261051.161712,1063868.000,38152,2,AK,1,100,38150
1738261051.172712,1063879.000,38152,2,AK,1,100,RD
1738261053.717306,1066423.500,38947,2,AK,1,100,38150
1738261056.261899,1068968.000,38947,2,AK,1,100,RD
1738261056.270399,1068976.500,38950,2,AK,1,100,38948
1738261056.278899,1068985.000,38950,2,AK,1,100,RD
1738261058.826993,1071533.000,39757,2,AK,1,100,38948
1738261061.375086,1074081.000,39757,2,AK,1,100,RD
1738261063.950680,1076656.500,40568,2,AK,1,100,39758
1738261066.526275,1079232.000,40568,2,AK,1,100,RD
1738261066.527775,1079233.500,40570,2,AK,1,100,39758
1738261066.529275,1079235.000,40570,2,AK,1,100,RD
