LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,GX
1738271588.595307,574907.000,24982,2,GX,1,100,-0.092
1738271588.635309,574947.000,24998,3,GX,1,100,-0.061
1738271588.675311,574987.000,24998,3,GX,1,100,-0.061
1738271588.715312,575027.000,24998,3,GX,1,100,0.031
1738271588.755314,575067.000,25014,3,GX,1,100,-0.092
1738271588.795315,575107.000,25014,3,GX,1,100,-0.061
1738271588.835317,575147.000,25014,3,GX,1,100,-0.031
1738271588.875319,575187.000,25031,2,GX,1,100,0.122
1738271588.915320,575227.000,25031,2,GX,1,100,0.275
1738271588.955322,575267.000,25048,3,GX,1,100,0.336
1738271588.995323,575307.000,25048,3,GX,1,100,0.153
1738271589.035325,575347.000,25048,3,GX,1,100,-0.031
1738271589.075327,575387.000,25064,2,GX,1,100,0.092
1738271589.115328,575427.000,25064,2,GX,1,100,0.092
1738271589.155330,575467.000,25080,3,GX,1,100,0.092
1738271589.195332,575507.000,25080,3,GX,1,100,0.092
1738271589.235333,575547.000,25080,3,GX,1,100,0.122
1738271589.275335,575587.000,25097,2,GX,1,100,0.122
1738271589.315336,575627.000,25097,2,GX,1,100,0.092
1738271589.355338,575667.000,25119,4,GX,1,100,0.061
1738271589.395340,575707.000,25119,4,GX,1,100,0.031
1738271589.435341,575747.000,25119,4,GX,1,100,-0.031
1738271589.475343,575787.000,25119,4,GX,1,100,-0.122
1738271589.515345,575827.000,25135,2,GX,1,100,-0.275
1738271589.555346,575867.000,25135,2,GX,1,100,-0.366
1738271589.595348,575907.000,25153,3,GX,1,100,-0.244
1738271589.635349,575947.000,25153,3,GX,1,100,-0.336
1738271589.675351,575987.000,25153,3,GX,1,100,-0.336
1738271589.715353,576027.000,25169,2,GX,1,100,-0.275
1738271589.755354,576067.000,25169,2,GX,1,100,-0.214
1738271589.795356,576107.000,25185,3,GX,1,100,-0.061
1738271589.835357,576147.000,25185,3,GX,1,100,0.061
1738271589.875359,576187.000,25185,3,GX,1,100,0.000
1738271589.915361,576227.000,25202,2,GX,1,100,-0.275
1738271589.955362,576267.000,25202,2,GX,1,100,-0.244
1738271589.995364,576307.000,25219,3,GX,1,100,-0.153
1738271590.035366,576347.000,25219,3,GX,1,100,-0.153
1738271590.075367,576387.000,25219,3,GX,1,100,-0.153
1738271590.115369,576427.000,25235,3,GX,1,100,-0.092
1738271590.155370,576467.000,25235,3,GX,1,100,-0.061
1738271590.195372,576507.000,25235,3,GX,1,100,-0.122
