LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,PG
1738265310.655290,1584746.667,47625,9,PG,1,100,4908
1738265310.666261,1584757.000,47625,9,PG,1,100,4922
1738265310.677233,1584767.333,47625,9,PG,1,100,4932
1738265310.688204,1584777.667,47625,9,PG,1,100,4962
1738265310.699175,1584788.000,47625,9,PG,1,100,4938
1738265310.710145,1584798.333,47625,9,PG,1,100,4957
1738265310.721117,1584808.667,47625,9,PG,1,100,4952
1738265310.732088,1584819.000,47625,9,PG,1,100,4948
1738265310.742415,1584828.727,47641,11,PG,1,100,4927
1738265310.752743,1584838.455,47641,11,PG,1,100,4957
1738265310.763071,1584848.182,47641,11,PG,1,100,4940
1738265310.773398,1584857.909,47641,11,PG,1,100,4948
1738265310.783726,1584867.636,47641,11,PG,1,100,4960
1738265310.794053,1584877.364,47641,11,PG,1,100,4952
1738265310.804381,1584887.091,47641,11,PG,1,100,4957
1738265310.814708,1584896.818,47641,11,PG,1,100,4942
1738265310.825036,1584906.545,47641,11,PG,1,100,4960
1738265310.835364,1584916.273,47641,11,PG,1,100,4944
1738265310.845691,1584926.000,47641,11,PG,1,100,4950
1738265310.856662,1584936.333,47656,9,PG,1,100,4947
1738265310.867633,1584946.667,47656,9,PG,1,100,4930
1738265310.878604,1584957.000,47656,9,PG,1,100,4966
1738265310.889575,1584967.333,47656,9,PG,1,100,4943
1738265310.900547,1584977.667,47656,9,PG,1,100,4951
1738265310.911518,1584988.000,47656,9,PG,1,100,4956
1738265310.922489,1584998.333,47656,9,PG,1,100,4957
1738265310.933460,1585008.667,47656,9,PG,1,100,4935
1738265310.944431,1585019.000,47656,9,PG,1,100,4964
1738265310.954758,1585028.727,47675,11,PG,1,100,4936
1738265310.965086,1585038.455,47675,11,PG,1,100,4961
1738265310.975414,1585048.182,47675,11,PG,1,100,4972
1738265310.985741,1585057.909,47675,11,PG,1,100,4959
1738265310.996069,1585067.636,47675,11,PG,1,100,4945
1738265311.006396,1585077.364,47675,11,PG,1,100,4978
1738265311.016724,1585087.091,47675,11,PG,1,100,4945
1738265311.027051,1585096.818,47675,11,PG,1,100,4963
1738265311.037379,1585106.545,47675,11,PG,1,100,4952
1738265311.047707,1585116.273,47675,11,PG,1,100,4952
1738265311.058034,1585126.000,47675,11,PG,1,100,4972
1738265311.069395,1585136.700,47690,10,PG,1,100,4966
1738265311.080755,1585147.400,47690,10,PG,1,100,4941
1738265311.092115,1585158.100,47690,10,PG,1,100,4949
1738265311.103476,1585168.800,47690,10,PG,1,100,4951
1738265311.114836,1585179.500,47690,10,PG,1,100,4979
1738265311.126196,1585190.200,47690,10,PG,1,100,4944
1738265311.137557,1585200.900,47690,10,PG,1,100,4949
1738265311.148917,1585211.600,47690,10,PG,1,100,4985
1738265311.160278,1585222.300,47690,10,PG,1,100,4974
1738265311.171638,1585233.000,47690,10,PG,1,100,4967
1738265311.181972,1585242.733,47710,15,PG,1,100,5002
1738265311.192306,1585252.467,47710,15,PG,1,100,4940
1738265311.202640,1585262.200,47710,15,PG,1,100,4974
1738265311.212974,1585271.933,47710,15,PG,1,100,4966
1738265311.223308,1585281.667,47710,15,PG,1,100,4941
1738265311.233642,1585291.400,47710,15,PG,1,100,4972
1738265311.243976,1585301.133,47710,15,PG,1,100,4962
1738265311.254310,1585310.867,47710,15,PG,1,100,4976
1738265311.264644,1585320.600,47710,15,PG,1,100,4948
1738265311.274978,1585330.333,47710,15,PG,1,100,4967
1738265311.285312,1585340.067,47710,15,PG,1,100,4956
1738265311.295646,1585349.800,47710,15,PG,1,100,4955
1738265311.305980,1585359.533,47710,15,PG,1,100,4931
1738265311.316314,1585369.267,47710,15,PG,1,100,4960
1738265311.326648,1585379.000,47710,15,PG,1,100,4975
1738265311.338009,1585389.700,47726,10,PG,1,100,4954
1738265311.349369,1585400.400,47726,10,PG,1,100,4953
1738265311.360729,1585411.100,47726,10,PG,1,100,4950
1738265311.372090,1585421.800,47726,10,PG,1,100,4935
1738265311.383450,1585432.500,47726,10,PG,1,100,4957
1738265311.394810,1585443.200,47726,10,PG,1,100,4947
1738265311.406171,1585453.900,47726,10,PG,1,100,4948
1738265311.417531,1585464.600,47726,10,PG,1,100,4973
