LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,GZ
1738263929.999172,201265.000,29397,3,GZ,1,100,6.500
1738263930.038674,201304.500,29412,2,GZ,1,100,-12.207
1738263930.078175,201344.000,29412,2,GZ,1,100,-25.269
1738263930.118177,201384.000,29429,3,GZ,1,100,-17.487
1738263930.158178,201424.000,29429,3,GZ,1,100,-15.717
1738263930.198180,201464.000,29429,3,GZ,1,100,-12.177
1738263930.238681,201504.500,29446,2,GZ,1,100,4.120
1738263930.279183,201545.000,29446,2,GZ,1,100,1.404
1738263930.318851,201584.667,29463,3,GZ,1,100,3.540
1738263930.358519,201624.333,29463,3,GZ,1,100,1.587
1738263930.398187,201664.000,29463,3,GZ,1,100,0.641
1738263930.438189,201704.000,29477,2,GZ,1,100,-2.472
1738263930.478190,201744.000,29477,2,GZ,1,100,-5.615
1738263930.518192,201784.000,29494,3,GZ,1,100,-7.812
1738263930.558193,201824.000,29494,3,GZ,1,100,-6.775
1738263930.598195,201864.000,29494,3,GZ,1,100,-5.157
1738263930.645197,201911.000,29511,2,GZ,1,100,-4.028
1738263930.692198,201958.000,29511,2,GZ,1,100,-3.296
1738263930.732200,201998.000,29527,3,GZ,1,100,-3.571
1738263930.772201,202038.000,29527,3,GZ,1,100,-9.796
1738263930.812203,202078.000,29527,3,GZ,1,100,15.259
1738263930.852204,202118.000,29543,2,GZ,1,100,16.693
1738263930.892206,202158.000,29543,2,GZ,1,100,1.251
1738263930.931874,202197.667,29562,3,GZ,1,100,-15.472
1738263930.971542,202237.333,29562,3,GZ,1,100,-12.787
1738263931.011210,202277.000,29562,3,GZ,1,100,-7.080
1738263931.051212,202317.000,29577,2,GZ,1,100,-24.933
1738263931.091213,202357.000,29577,2,GZ,1,100,-30.121
1738263931.131548,202397.333,29598,3,GZ,1,100,-22.034
1738263931.171883,202437.667,29598,3,GZ,1,100,-12.909
1738263931.212218,202478.000,29598,3,GZ,1,100,-4.578
1738263931.251886,202517.667,29613,3,GZ,1,100,1.221
1738263931.291554,202557.333,29613,3,GZ,1,100,6.134
1738263931.331223,202597.000,29613,3,GZ,1,100,5.981
1738263931.371724,202637.500,29629,2,GZ,1,100,4.181
1738263931.412226,202678.000,29629,2,GZ,1,100,5.737
1738263931.451894,202717.667,29644,3,GZ,1,100,6.989
1738263931.491562,202757.333,29644,3,GZ,1,100,6.073
1738263931.531230,202797.000,29644,3,GZ,1,100,5.127
