LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,MY
1738265328.793989,1601831.000,50258,3,MY,1,100,-82
1738265328.836457,1601871.000,50258,3,MY,1,100,-82
1738265328.878926,1601911.000,50274,2,MY,1,100,-81
1738265328.921395,1601951.000,50274,2,MY,1,100,-81
1738265328.963863,1601991.000,50290,3,MY,1,100,-81
1738265329.006332,1602031.000,50290,3,MY,1,100,-80
1738265329.048800,1602071.000,50290,3,MY,1,100,-81
1738265329.091269,1602111.000,50305,3,MY,1,100,-81
1738265329.133738,1602151.000,50305,3,MY,1,100,-80
1738265329.176206,1602191.000,50305,3,MY,1,100,-81
1738265329.218675,1602231.000,50320,2,MY,1,100,-81
1738265329.261143,1602271.000,50320,2,MY,1,100,-81
1738265329.303612,1602311.000,50336,3,MY,1,100,-80
1738265329.346081,1602351.000,50336,3,MY,1,100,-80
1738265329.388549,1602391.000,50336,3,MY,1,100,-80
1738265329.431018,1602431.000,50352,2,MY,1,100,-80
1738265329.473487,1602471.000,50352,2,MY,1,100,-79
1738265329.515955,1602511.000,50368,3,MY,1,100,-78
1738265329.558424,1602551.000,50368,3,MY,1,100,-79
1738265329.600892,1602591.000,50368,3,MY,1,100,-78
1738265329.643361,1602631.000,50382,2,MY,1,100,-79
