LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,AZ
1738265322.424759,1595832.000,49324,3,AZ,1,100,0.885
1738265322.466696,1595871.500,49339,2,AZ,1,100,0.885
1738265322.508634,1595911.000,49339,2,AZ,1,100,0.883
1738265322.556057,1595955.667,49354,3,AZ,1,100,0.884
1738265322.603481,1596000.333,49354,3,AZ,1,100,0.883
1738265322.650904,1596045.000,49354,3,AZ,1,100,0.883
1738265322.693372,1596085.000,49370,2,AZ,1,100,0.885
1738265322.735841,1596125.000,49370,2,AZ,1,100,0.885
1738265322.778310,1596165.000,49386,3,AZ,1,100,0.884
1738265322.820778,1596205.000,49386,3,AZ,1,100,0.885
1738265322.863247,1596245.000,49386,3,AZ,1,100,0.884
1738265322.905716,1596285.000,49401,2,AZ,1,100,0.886
1738265322.948184,1596325.000,49401,2,AZ,1,100,0.891
1738265322.990653,1596365.000,49417,3,AZ,1,100,0.883
1738265323.033121,1596405.000,49417,3,AZ,1,100,0.886
1738265323.075590,1596445.000,49417,3,AZ,1,100,0.891
1738265323.118059,1596485.000,49432,2,AZ,1,100,0.885
1738265323.160527,1596525.000,49432,2,AZ,1,100,0.885
1738265323.202996,1596565.000,49448,3,AZ,1,100,0.886
1738265323.245465,1596605.000,49448,3,AZ,1,100,0.888
1738265323.287933,1596645.000,49448,3,AZ,1,100,0.885
1738265323.330402,1596685.000,49464,2,AZ,1,100,0.888
1738265323.372870,1596725.000,49464,2,AZ,1,100,0.888
1738265323.415339,1596765.000,49479,3,AZ,1,100,0.888
1738265323.457808,1596805.000,49479,3,AZ,1,100,0.886
1738265323.500276,1596845.000,49479,3,AZ,1,100,0.888
1738265323.542745,1596885.000,49494,2,AZ,1,100,0.891
1738265323.585213,1596925.000,49494,2,AZ,1,100,0.888
1738265323.627682,1596965.000,49510,3,AZ,1,100,0.888
1738265323.670151,1597005.000,49510,3,AZ,1,100,0.890
1738265323.712619,1597045.000,49510,3,AZ,1,100,0.888
1738265323.761989,1597091.500,49526,2,AZ,1,100,0.891
1738265323.811359,1597138.000,49526,2,AZ,1,100,0.887
1738265323.853827,1597178.000,49542,3,AZ,1,100,0.886
1738265323.896296,1597218.000,49542,3,AZ,1,100,0.888
1738265323.938765,1597258.000,49542,3,AZ,1,100,0.880
