LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,MX
1738260747.596255,697697.000,38796,2,MX,1,100,-14
1738260747.636256,697737.000,38796,2,MX,1,100,-14
1738260747.676257,697777.000,38814,3,MX,1,100,-15
1738260747.716259,697817.000,38814,3,MX,1,100,-13
1738260747.756260,697857.000,38814,3,MX,1,100,-15
1738260747.796261,697897.000,38829,2,MX,1,100,-15
1738260747.836262,697937.000,38829,2,MX,1,100,-15
1738260747.871930,697972.667,38846,3,MX,1,100,-15
1738260747.907598,698008.333,38846,3,MX,1,100,-15
1738260747.943266,698044.000,38846,3,MX,1,100,-14
1738260747.983267,698084.000,38860,3,MX,1,100,-14
1738260748.023268,698124.000,38860,3,MX,1,100,-14
1738260748.063270,698164.000,38860,3,MX,1,100,-14
1738260748.102771,698203.500,38876,2,MX,1,100,-14
1738260748.142272,698243.000,38876,2,MX,1,100,-14
1738260748.182274,698283.000,38891,3,MX,1,100,-13
1738260748.222275,698323.000,38891,3,MX,1,100,-14
1738260748.262276,698363.000,38891,3,MX,1,100,-14
1738260748.302278,698403.000,38908,2,MX,1,100,-14
1738260748.342279,698443.000,38908,2,MX,1,100,-15
1738260748.382280,698483.000,38924,3,MX,1,100,-14
1738260748.422282,698523.000,38924,3,MX,1,100,-15
1738260748.462283,698563.000,38924,3,MX,1,100,-15
1738260748.502284,698603.000,38940,3,MX,1,100,-14
1738260748.542286,698643.000,38940,3,MX,1,100,-13
1738260748.582287,698683.000,38940,3,MX,1,100,-14
1738260748.622288,698723.000,38956,2,MX,1,100,-13
1738260748.662289,698763.000,38956,2,MX,1,100,-14
1738260748.702291,698803.000,38972,3,MX,1,100,-15
1738260748.742292,698843.000,38972,3,MX,1,100,-15
1738260748.782293,698883.000,38972,3,MX,1,100,-16
1738260748.822295,698923.000,38987,2,MX,1,100,-14
1738260748.862296,698963.000,38987,2,MX,1,100,-14
1738260748.902297,699003.000,39003,3,MX,1,100,-15
1738260748.942299,699043.000,39003,3,MX,1,100,-13
1738260748.982300,699083.000,39003,3,MX,1,100,-15
1738260749.022301,699123.000,39018,2,MX,1,100,-14
1738260749.062303,699163.000,39018,2,MX,1,100,-13
1738260749.102304,699203.000,39034,3,MX,1,100,-14
1738260749.142305,699243.000,39034,3,MX,1,100,-14
1738260749.182307,699283.000,39034,3,MX,1,100,-14
1738260749.222308,699323.000,39050,2,MX,1,100,-14
1738260749.262309,699363.000,39050,2,MX,1,100,-14
1738260749.302310,699403.000,39065,3,MX,1,100,-15
1738260749.342312,699443.000,39065,3,MX,1,100,-14
1738260749.382313,699483.000,39065,3,MX,1,100,-14
1738260749.422314,699523.000,39080,2,MX,1,100,-14
1738260749.462316,699563.000,39080,2,MX,1,100,-14
1738260749.502317,699603.000,39096,3,MX,1,100,-14
1738260749.542318,699643.000,39096,3,MX,1,100,-14
1738260749.582320,699683.000,39096,3,MX,1,100,-14
1738260749.622321,699723.000,39112,3,MX,1,100,-14
1738260749.662322,699763.000,39112,3,MX,1,100,-14
1738260749.702324,699803.000,39112,3,MX,1,100,-14
1738260749.742325,699843.000,39127,2,MX,1,100,-14
1738260749.782326,699883.000,39127,2,MX,1,100,-15
1738260749.822328,699923.000,39142,3,MX,1,100,-15
1738260749.862329,699963.000,39142,3,MX,1,100,-14
1738260749.902330,700003.000,39142,3,MX,1,100,-14
1738260749.942332,700043.000,39159,2,MX,1,100,-14
1738260749.982333,700083.000,39159,2,MX,1,100,-14
1738260750.022334,700123.000,39176,3,MX,1,100,-14
1738260750.062335,700163.000,39176,3,MX,1,100,-14
1738260750.102337,700203.000,39176,3,MX,1,100,-14
1738260750.142338,700243.000,39191,2,MX,1,100,-14
1738260750.182339,700283.000,39191,2,MX,1,100,-15
1738260750.222341,700323.000,39207,3,MX,1,100,-13
1738260750.262342,700363.000,39207,3,MX,1,100,-15
1738260750.302343,700403.000,39207,3,MX,1,100,-14
1738260750.342345,700443.000,39223,2,MX,1,100,-15
1738260750.382346,700483.000,39223,2,MX,1,100,-14
1738260750.422347,700523.000,39238,3,MX,1,100,-14
1738260750.462348,700563.000,39238,3,MX,1,100,-14
1738260750.502350,700603.000,39238,3,MX,1,100,-14
1738260750.538018,700638.667,39255,3,MX,1,100,-14
1738260750.573685,700674.333,39255,3,MX,1,100,-14
1738260750.609353,700710.000,39255,3,MX,1,100,-14
1738260750.649355,700750.000,39271,2,MX,1,100,-14
1738260750.689356,700790.000,39271,2,MX,1,100,-14
1738260750.729357,700830.000,39287,3,MX,1,100,-14
1738260750.769359,700870.000,39287,3,MX,1,100,-14
1738260750.809360,700910.000,39287,3,MX,1,100,-13
