LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,AX
1738263931.961633,216121.000,29956,2,AX,1,100,0.391
1738263932.001635,216161.000,29956,2,AX,1,100,0.397
1738263932.041636,216201.000,29970,3,AX,1,100,0.394
1738263932.081637,216241.000,29970,3,AX,1,100,0.390
1738263932.121639,216281.000,29970,3,AX,1,100,0.401
1738263932.161640,216321.000,29986,2,AX,1,100,0.387
1738263932.201641,216361.000,29986,2,AX,1,100,0.391
1738263932.241642,216401.000,30003,3,AX,1,100,0.391
1738263932.281644,216441.000,30003,3,AX,1,100,0.400
1738263932.321645,216481.000,30003,3,AX,1,100,0.381
1738263932.361646,216521.000,30020,3,AX,1,100,0.400
1738263932.401648,216561.000,30020,3,AX,1,100,0.395
1738263932.441649,216601.000,30020,3,AX,1,100,0.387
1738263932.481650,216641.000,30035,2,AX,1,100,0.396
1738263932.521651,216681.000,30035,2,AX,1,100,0.388
1738263932.561653,216721.000,30050,3,AX,1,100,0.401
1738263932.601654,216761.000,30050,3,AX,1,100,0.394
1738263932.641655,216801.000,30050,3,AX,1,100,0.397
1738263932.681656,216841.000,30066,2,AX,1,100,0.396
1738263932.721658,216881.000,30066,2,AX,1,100,0.392
1738263932.761659,216921.000,30082,3,AX,1,100,0.394
1738263932.801660,216961.000,30082,3,AX,1,100,0.393
1738263932.841661,217001.000,30082,3,AX,1,100,0.392
1738263932.881663,217041.000,30099,2,AX,1,100,0.394
1738263932.921664,217081.000,30099,2,AX,1,100,0.405
1738263932.961665,217121.000,30115,3,AX,1,100,0.392
1738263933.001667,217161.000,30115,3,AX,1,100,0.384
1738263933.041668,217201.000,30115,3,AX,1,100,0.397
1738263933.081669,217241.000,30132,2,AX,1,100,0.395
1738263933.121670,217281.000,30132,2,AX,1,100,0.391
1738263933.161672,217321.000,30148,3,AX,1,100,0.392
1738263933.201673,217361.000,30148,3,AX,1,100,0.400
1738263933.241674,217401.000,30148,3,AX,1,100,0.393
1738263933.281676,217441.000,30164,2,AX,1,100,0.385
1738263933.321677,217481.000,30164,2,AX,1,100,0.403
1738263933.361678,217521.000,30181,3,AX,1,100,0.391
1738263933.401680,217561.000,30181,3,AX,1,100,0.400
1738263933.441681,217601.000,30181,3,AX,1,100,0.388
1738263933.481682,217641.000,30196,3,AX,1,100,0.398
1738263933.521683,217681.000,30196,3,AX,1,100,0.396
1738263933.561685,217721.000,30196,3,AX,1,100,0.390
1738263933.601686,217761.000,30212,2,AX,1,100,0.402
1738263933.641687,217801.000,30212,2,AX,1,100,0.382
1738263933.681689,217841.000,30228,3,AX,1,100,0.404
1738263933.721690,217881.000,30228,3,AX,1,100,0.394
1738263933.761691,217921.000,30228,3,AX,1,100,0.396
1738263933.801692,217961.000,30243,2,AX,1,100,0.390
1738263933.841694,218001.000,30243,2,AX,1,100,0.394
1738263933.881695,218041.000,30258,3,AX,1,100,0.403
1738263933.921696,218081.000,30258,3,AX,1,100,0.377
1738263933.961698,218121.000,30258,3,AX,1,100,0.406
1738263934.001699,218161.000,30277,2,AX,1,100,0.388
1738263934.041700,218201.000,30277,2,AX,1,100,0.403
1738263934.081701,218241.000,30292,3,AX,1,100,0.388
1738263934.121703,218281.000,30292,3,AX,1,100,0.398
1738263934.161704,218321.000,30292,3,AX,1,100,0.393
1738263934.201705,218361.000,30308,2,AX,1,100,0.392
1738263934.241706,218401.000,30308,2,AX,1,100,0.401
1738263934.281708,218441.000,30323,3,AX,1,100,0.392
1738263934.321709,218481.000,30323,3,AX,1,100,0.400
1738263934.361710,218521.000,30323,3,AX,1,100,0.389
1738263934.397378,218556.667,30339,3,AX,1,100,0.395
1738263934.433046,218592.333,30339,3,AX,1,100,0.395
1738263934.468714,218628.000,30339,3,AX,1,100,0.395
1738263934.508715,218668.000,30356,2,AX,1,100,0.394
1738263934.548716,218708.000,30356,2,AX,1,100,0.388
1738263934.588718,218748.000,30373,3,AX,1,100,0.406
1738263934.628719,218788.000,30373,3,AX,1,100,0.396
1738263934.668720,218828.000,30373,3,AX,1,100,0.388
1738263934.708721,218868.000,30387,2,AX,1,100,0.387
1738263934.748723,218908.000,30387,2,AX,1,100,0.405
1738263934.788724,218948.000,30403,3,AX,1,100,0.383
1738263934.828725,218988.000,30403,3,AX,1,100,0.393
1738263934.868726,219028.000,30403,3,AX,1,100,0.394
1738263934.908728,219068.000,30420,2,AX,1,100,0.390
1738263934.948729,219108.000,30420,2,AX,1,100,0.400
1738263934.988730,219148.000,30437,3,AX,1,100,0.380
1738263935.028732,219188.000,30437,3,AX,1,100,0.398
1738263935.068733,219228.000,30437,3,AX,1,100,0.394
1738263935.108734,219268.000,30453,3,AX,1,100,0.391
1738263935.148736,219308.000,30453,3,AX,1,100,0.396
1738263935.188737,219348.000,30453,3,AX,1,100,0.381
1738263935.228738,219388.000,30469,2,AX,1,100,0.408
1738263935.268739,219428.000,30469,2,AX,1,100,0.383
1738263935.308741,219468.000,30485,3,AX,1,100,0.393
1738263935.348742,219508.000,30485,3,AX,1,100,0.394
1738263935.388743,219548.000,30485,3,AX,1,100,0.389
1738263935.428745,219588.000,30501,2,AX,1,100,0.392
1738263935.468746,219628.000,30501,2,AX,1,100,0.385
1738263935.508747,219668.000,30515,3,AX,1,100,0.403
1738263935.548748,219708.000,30515,3,AX,1,100,0.392
1738263935.588750,219748.000,30515,3,AX,1,100,0.387
1738263935.628751,219788.000,30534,2,AX,1,100,0.392
1738263935.668752,219828.000,30534,2,AX,1,100,0.392
1738263935.708754,219868.000,30549,3,AX,1,100,0.395
1738263935.748755,219908.000,30549,3,AX,1,100,0.388
1738263935.788756,219948.000,30549,3,AX,1,100,0.398
1738263935.828257,219987.500,30565,2,AX,1,100,0.377
1738263935.867759,220027.000,30565,2,AX,1,100,0.399
1738263935.908093,220067.333,30579,3,AX,1,100,0.388
1738263935.948428,220107.667,30579,3,AX,1,100,0.391
1738263935.988763,220148.000,30579,3,AX,1,100,0.393
1738263936.028764,220188.000,30596,2,AX,1,100,0.385
1738263936.068765,220228.000,30596,2,AX,1,100,0.396
